Well;WellName;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;MONISprojectno;AssayID;speciesabbr;season;qpcrrundate
B4;smpl01;Unknown;1;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B5;smpl01;Unknown;1;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B6;smpl01;Unknown;1;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C4;smpl02;Unknown;2;0.1073;33.19;1.736e+001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C5;smpl02;Unknown;2;0.1073;33.82;9.84;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C6;smpl02;Unknown;2;0.1073;33.58;1.218e+001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D4;smpl03;Unknown;3;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D5;smpl03;Unknown;3;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D6;smpl03;Unknown;3;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E4;smpl04;Unknown;4;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E5;smpl04;Unknown;4;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E6;smpl04;Unknown;4;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F4;smpl05;Unknown;5;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
