Well;WellName;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;MONISprojectno;AssayID;speciesabbr;season;qpcrrundate
F5;smpl05;Unknown;5;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F6;smpl05;Unknown;5;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G4;smpl06;Unknown;6;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G5;smpl06;Unknown;6;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G6;smpl06;Unknown;6;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B7;smpl07;Unknown;7;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B8;smpl07;Unknown;7;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B9;smpl07;Unknown;7;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C7;smpl08;Unknown;8;0.1073;29.74;4.033e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C8;smpl08;Unknown;8;0.1073;29.97;3.254e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C9;smpl08;Unknown;8;0.1073;29.73;4.063e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D7;smpl09;Unknown;9;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D8;smpl09;Unknown;9;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D9;smpl09;Unknown;9;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E7;smpl10;Unknown;10;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E8;smpl10;Unknown;10;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E9;smpl10;Unknown;10;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F7;smpl11;Unknown;11;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F8;smpl11;Unknown;11;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F9;smpl11;Unknown;11;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G7;smpl12;Unknown;12;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G8;smpl12;Unknown;12;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G9;smpl12;Unknown;12;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B10;smpl13;Unknown;13;0.1073;34.21;6.86;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B11;smpl13;Unknown;13;0.1073;33.91;9.02;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B12;smpl13;Unknown;13;0.1073;34.43;5.62;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C10;smpl14;Unknown;14;0.1073;36.54;8.234e-001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C11;smpl14;Unknown;14;0.1073;36.25;1.07;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C12;smpl14;Unknown;14;0.1073;34.48;5.40;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D10;smpl15;Unknown;15;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D11;smpl15;Unknown;15;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D12;smpl15;Unknown;15;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E10;smpl16;Unknown;16;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E11;smpl16;Unknown;16;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E12;smpl16;Unknown;16;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B1;std5e5;Standard;17;0.1073;22.09;5.00e+005;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B2;std5e5;Standard;17;0.1073;21.86;5.00e+005;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B3;std5e5;Standard;17;0.1073;21.77;5.00e+005;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C1;std5e4;Standard;18;0.1073;24.55;5.00e+004;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C2;std5e4;Standard;18;0.1073;24.51;5.00e+004;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
C3;std5e4;Standard;18;0.1073;24.49;5.00e+004;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D1;std5e3;Standard;19;0.1073;26.74;5.00e+003;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D2;std5e3;Standard;19;0.1073;27.11;5.00e+003;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
D3;std5e3;Standard;19;0.1073;26.99;5.00e+003;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E1;std5e2;Standard;20;0.1073;29.38;5.00e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E2;std5e2;Standard;20;0.1073;29.43;5.00e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
E3;std5e2;Standard;20;0.1073;29.79;5.00e+002;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F1;std5e1;Standard;21;0.1073;31.72;5.00e+001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F2;std5e1;Standard;21;0.1073;31.64;5.00e+001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
F3;std5e1;Standard;21;0.1073;31.95;5.00e+001;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G1;std5e0;Standard;22;0.1073;35.45;5.00e+000;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G2;std5e0;Standard;22;0.1073;34.47;5.00e+000;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
G3;std5e0;Standard;22;0.1073;34.31;5.00e+000;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
H1;ntc;NTC;23;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
H2;ntc;NTC;23;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
H3;ntc;NTC;23;0.1073;NoCt;NoCt;0.996;-2.530;MONIS3;AssID01;Bonham;efteraar;qpcrrundate20180515
B4;smpl01;Unknown;1;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B5;smpl01;Unknown;1;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B6;smpl01;Unknown;1;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C4;smpl02;Unknown;2;0.0477;35.01;3.869e-001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C5;smpl02;Unknown;2;0.0477;35.07;3.617e-001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C6;smpl02;Unknown;2;0.0477;34.59;6.166e-001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D4;smpl03;Unknown;3;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D5;smpl03;Unknown;3;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D6;smpl03;Unknown;3;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E4;smpl04;Unknown;4;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E5;smpl04;Unknown;4;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E6;smpl04;Unknown;4;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F4;smpl05;Unknown;5;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F5;smpl05;Unknown;5;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F6;smpl05;Unknown;5;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G4;smpl06;Unknown;6;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G5;smpl06;Unknown;6;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G6;smpl06;Unknown;6;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B7;smpl07;Unknown;7;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B8;smpl07;Unknown;7;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B9;smpl07;Unknown;7;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C7;smpl08;Unknown;8;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C8;smpl08;Unknown;8;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C9;smpl08;Unknown;8;0.0477;38.45;8.573e-003;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D7;smpl09;Unknown;9;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D8;smpl09;Unknown;9;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D9;smpl09;Unknown;9;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E7;smpl10;Unknown;10;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E8;smpl10;Unknown;10;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E9;smpl10;Unknown;10;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F7;smpl11;Unknown;11;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F8;smpl11;Unknown;11;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F9;smpl11;Unknown;11;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G7;smpl12;Unknown;12;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G8;smpl12;Unknown;12;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G9;smpl12;Unknown;12;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B10;smpl13;Unknown;13;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B11;smpl13;Unknown;13;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B12;smpl13;Unknown;13;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C10;smpl14;Unknown;14;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C11;smpl14;Unknown;14;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C12;smpl14;Unknown;14;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D10;smpl15;Unknown;15;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D11;smpl15;Unknown;15;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D12;smpl15;Unknown;15;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E10;smpl16;Unknown;16;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E11;smpl16;Unknown;16;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E12;smpl16;Unknown;16;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B1;std5e5;Standard;17;0.0477;22.83;5.00e+005;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B2;std5e5;Standard;17;0.0477;24.15;5.00e+005;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B3;std5e5;Standard;17;0.0477;22.40;5.00e+005;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C1;std5e4;Standard;18;0.0477;24.29;5.00e+004;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C2;std5e4;Standard;18;0.0477;24.59;5.00e+004;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
C3;std5e4;Standard;18;0.0477;24.13;5.00e+004;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D1;std5e3;Standard;19;0.0477;26.12;5.00e+003;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D2;std5e3;Standard;19;0.0477;25.74;5.00e+003;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
D3;std5e3;Standard;19;0.0477;25.24;5.00e+003;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E1;std5e2;Standard;20;0.0477;28.19;5.00e+002;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E2;std5e2;Standard;20;0.0477;27.88;5.00e+002;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
E3;std5e2;Standard;20;0.0477;28.15;5.00e+002;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F1;std5e1;Standard;21;0.0477;30.10;5.00e+001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F2;std5e1;Standard;21;0.0477;30.30;5.00e+001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
F3;std5e1;Standard;21;0.0477;29.92;5.00e+001;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G1;std5e0;Standard;22;0.0477;33.95;5.00e+000;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G2;std5e0;Standard;22;0.0477;33.42;5.00e+000;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
G3;std5e0;Standard;22;0.0477;33.81;5.00e+000;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
H1;ntc;NTC;23;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
H2;ntc;NTC;23;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
H3;ntc;NTC;23;0.0477;NoCt;NoCt;0.954;-2.076;MONIS3;AssID01;Bonham;foraar;qpcrrundate20180515
B4;smpl01;Unknown;1;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B5;smpl01;Unknown;1;0.0511;39.98;4.902e-002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B6;smpl01;Unknown;1;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C4;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C5;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C6;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D4;smpl03;Unknown;3;0.0511;39.05;1.065e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D5;smpl03;Unknown;3;0.0511;38.61;1.534e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D6;smpl03;Unknown;3;0.0511;36.46;9.073e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E4;smpl04;Unknown;4;0.0511;35.27;2.41;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E5;smpl04;Unknown;4;0.0511;34.93;3.21;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E6;smpl04;Unknown;4;0.0511;35.22;2.52;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F4;smpl05;Unknown;5;0.0511;39.89;5.322e-002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F5;smpl05;Unknown;5;0.0511;39.48;7.442e-002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F6;smpl05;Unknown;5;0.0511;38.00;2.525e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G4;smpl06;Unknown;6;0.0511;34.61;4.19;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G5;smpl06;Unknown;6;0.0511;34.64;4.07;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G6;smpl06;Unknown;6;0.0511;36.08;1.24;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B7;smpl07;Unknown;7;0.0511;26.80;2.656e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B8;smpl07;Unknown;7;0.0511;26.84;2.580e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B9;smpl07;Unknown;7;0.0511;26.22;4.308e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C7;smpl08;Unknown;8;0.0511;38.89;1.211e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C8;smpl08;Unknown;8;0.0511;37.30;4.497e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C9;smpl08;Unknown;8;0.0511;36.99;5.824e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D7;smpl09;Unknown;9;0.0511;32.37;2.673e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D8;smpl09;Unknown;9;0.0511;32.79;1.878e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D9;smpl09;Unknown;9;0.0511;32.13;3.237e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E7;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E8;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E9;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F7;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F8;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
F9;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G7;smpl12;Unknown;12;0.0511;32.41;2.570e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G8;smpl12;Unknown;12;0.0511;33.13;1.417e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
G9;smpl12;Unknown;12;0.0511;33.40;1.140e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B10;smpl13;Unknown;13;0.0511;35.51;1.99;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B11;smpl13;Unknown;13;0.0511;34.28;5.50;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B12;smpl13;Unknown;13;0.0511;34.68;3.93;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C10;smpl14;Unknown;14;0.0511;29.72;2.387e+002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C11;smpl14;Unknown;14;0.0511;30.22;1.581e+002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C12;smpl14;Unknown;14;0.0511;30.36;1.409e+002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D10;smpl15;Unknown;15;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D11;smpl15;Unknown;15;0.0511;NoCt;NoCt;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D12;smpl15;Unknown;15;0.0511;39.11;1.013e-001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E10;smpl16;Unknown;16;0.0511;31.95;3.778e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E11;smpl16;Unknown;16;0.0511;32.19;3.085e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E12;smpl16;Unknown;16;0.0511;32.30;2.833e+001;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B1;std5e5;Standard;17;0.0511;20.91;5.00e+005;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B2;std5e5;Standard;17;0.0511;20.27;5.00e+005;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
B3;std5e5;Standard;17;0.0511;20.35;5.00e+005;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C1;std5e4;Standard;18;0.0511;23.57;5.00e+004;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C2;std5e4;Standard;18;0.0511;23.78;5.00e+004;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
C3;std5e4;Standard;18;0.0511;23.45;5.00e+004;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D1;std5e3;Standard;19;0.0511;25.57;5.00e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D2;std5e3;Standard;19;0.0511;26.05;5.00e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
D3;std5e3;Standard;19;0.0511;25.76;5.00e+003;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
E1;std5e2;Standard;20;0.0511;28.10;5.00e+002;0.991;-2.784;MONIS3;AssID02;Promin;efteraar;qpcrrundate20180522
