"","Well","WellName","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","MONISprojectno","AssayID","speciesabbr","season","qpcrrundate","gen_specnm","Genus","species","dk_comnm","Wellname.season.no1","gen_specnm.season","Harbour","Coll_date","volfilt_mL","declat","declon","Harbour.Welltype","col.06","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"41","C11","smpl14","Unknown",14,0.1073,36.25,1.07,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl14.efteraar.1","Bonnemaisonia_hamifera.efteraar","Roedby","2017.sep.23",200,54.6541,11.3461,"Roedby.Unknown","#F0FF00",0.3745,374.5,375.5,2.57460994134019
"42","C12","smpl14","Unknown",14,0.1073,34.48,5.4,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl14.efteraar.1","Bonnemaisonia_hamifera.efteraar","Roedby","2017.sep.23",200,54.6541,11.3461,"Roedby.Unknown","#F0FF00",1.89,1890,1891,3.27669152884504
"49","B1","std5e5","Standard",17,0.1073,22.09,5e+05,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"50","B2","std5e5","Standard",17,0.1073,21.86,5e+05,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"51","B3","std5e5","Standard",17,0.1073,21.77,5e+05,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"52","C1","std5e4","Standard",18,0.1073,24.55,50000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"53","C2","std5e4","Standard",18,0.1073,24.51,50000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"54","C3","std5e4","Standard",18,0.1073,24.49,50000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"55","D1","std5e3","Standard",19,0.1073,26.74,5000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"56","D2","std5e3","Standard",19,0.1073,27.11,5000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"57","D3","std5e3","Standard",19,0.1073,26.99,5000,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"58","E1","std5e2","Standard",20,0.1073,29.38,500,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"59","E2","std5e2","Standard",20,0.1073,29.43,500,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"60","E3","std5e2","Standard",20,0.1073,29.79,500,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"61","F1","std5e1","Standard",21,0.1073,31.72,50,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"62","F2","std5e1","Standard",21,0.1073,31.64,50,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"63","F3","std5e1","Standard",21,0.1073,31.95,50,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"64","G1","std5e0","Standard",22,0.1073,35.45,5,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e0.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"65","G2","std5e0","Standard",22,0.1073,34.47,5,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e0.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"66","G3","std5e0","Standard",22,0.1073,34.31,5,"0.996","-2.530","MONIS3","AssID01","Bonham","efteraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e0.efteraar.1","Bonnemaisonia_hamifera.efteraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"73","C4","smpl02","Unknown",2,0.0477,35.01,0.3869,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.foraar.1","Bonnemaisonia_hamifera.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.0112845833333333,11.2845833333333,12.2845833333333,1.08936043073039
"74","C5","smpl02","Unknown",2,0.0477,35.07,0.3617,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.foraar.1","Bonnemaisonia_hamifera.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.0105495833333333,10.5495833333333,11.5495833333333,1.06256631675646
"75","C6","smpl02","Unknown",2,0.0477,34.59,0.6166,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl02.foraar.1","Bonnemaisonia_hamifera.foraar","Aarhus","2017.jul.05",2400,56.1597,10.2301,"Aarhus.Unknown","#FF0000",0.0179841666666667,17.9841666666667,18.9841666666667,1.27839153800405
"93","C9","smpl08","Unknown",8,0.0477,38.45,0.008573,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","smpl08.foraar.1","Bonnemaisonia_hamifera.foraar","Grenaa","2017.jul.05",1100,56.4126,10.9332,"Grenaa.Unknown","#FF5A00",0.000545554545454546,0.545554545454546,1.54555454545455,0.189084336718578
"118","B1","std5e5","Standard",17,0.0477,22.83,5e+05,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"119","B2","std5e5","Standard",17,0.0477,24.15,5e+05,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"120","B3","std5e5","Standard",17,0.0477,22.4,5e+05,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e5.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"121","C1","std5e4","Standard",18,0.0477,24.29,50000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"122","C2","std5e4","Standard",18,0.0477,24.59,50000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"123","C3","std5e4","Standard",18,0.0477,24.13,50000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e4.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"124","D1","std5e3","Standard",19,0.0477,26.12,5000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"125","D2","std5e3","Standard",19,0.0477,25.74,5000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"126","D3","std5e3","Standard",19,0.0477,25.24,5000,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e3.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"127","E1","std5e2","Standard",20,0.0477,28.19,500,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"128","E2","std5e2","Standard",20,0.0477,27.88,500,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"129","E3","std5e2","Standard",20,0.0477,28.15,500,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e2.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"130","F1","std5e1","Standard",21,0.0477,30.1,50,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"131","F2","std5e1","Standard",21,0.0477,30.3,50,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"132","F3","std5e1","Standard",21,0.0477,29.92,50,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e1.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"133","G1","std5e0","Standard",22,0.0477,33.95,5,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e0.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
"134","G2","std5e0","Standard",22,0.0477,33.42,5,"0.954","-2.076","MONIS3","AssID01","Bonham","foraar","qpcrrundate20180515","Bonnemaisonia_hamifera","Bonnemaisonia","hamifera","roedtotalge","std5e0.foraar.1","Bonnemaisonia_hamifera.foraar",NA,NA,NA,NA,NA,"NA.Standard","#00000000",NA,0,1,0
