Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0304;NoCt;NoCt;0.978;-2.931;
B5;smpl01;Unknown;1;0.0304;NoCt;NoCt;0.978;-2.931;
B6;smpl01;Unknown;1;0.0304;NoCt;NoCt;0.978;-2.931;
C4;smpl02;Unknown;2;0.0304;NoCt;NoCt;0.978;-2.931;
C5;smpl02;Unknown;2;0.0304;NoCt;NoCt;0.978;-2.931;
C6;smpl02;Unknown;2;0.0304;NoCt;NoCt;0.978;-2.931;
D4;smpl03;Unknown;3;0.0304;NoCt;NoCt;0.978;-2.931;
D5;smpl03;Unknown;3;0.0304;NoCt;NoCt;0.978;-2.931;
D6;smpl03;Unknown;3;0.0304;NoCt;NoCt;0.978;-2.931;
E4;smpl04;Unknown;4;0.0304;NoCt;NoCt;0.978;-2.931;
E5;smpl04;Unknown;4;0.0304;NoCt;NoCt;0.978;-2.931;
E6;smpl04;Unknown;4;0.0304;NoCt;NoCt;0.978;-2.931;
F4;smpl05;Unknown;5;0.0304;NoCt;NoCt;0.978;-2.931;
F5;smpl05;Unknown;5;0.0304;NoCt;NoCt;0.978;-2.931;
F6;smpl05;Unknown;5;0.0304;NoCt;NoCt;0.978;-2.931;
G4;smpl06;Unknown;6;0.0304;NoCt;NoCt;0.978;-2.931;
G6;smpl06;Unknown;6;0.0304;NoCt;NoCt;0.978;-2.931;
B7;smpl07;Unknown;7;0.0304;NoCt;NoCt;0.978;-2.931;
B8;smpl07;Unknown;7;0.0304;NoCt;NoCt;0.978;-2.931;
B9;smpl07;Unknown;7;0.0304;NoCt;NoCt;0.978;-2.931;
C7;smpl08;Unknown;8;0.0304;NoCt;NoCt;0.978;-2.931;
C8;smpl08;Unknown;8;0.0304;NoCt;NoCt;0.978;-2.931;
C9;smpl08;Unknown;8;0.0304;NoCt;NoCt;0.978;-2.931;
D7;smpl09;Unknown;9;0.0304;NoCt;NoCt;0.978;-2.931;
D8;smpl09;Unknown;9;0.0304;NoCt;NoCt;0.978;-2.931;
D9;smpl09;Unknown;9;0.0304;NoCt;NoCt;0.978;-2.931;
E7;smpl10;Unknown;10;0.0304;NoCt;NoCt;0.978;-2.931;
E8;smpl10;Unknown;10;0.0304;NoCt;NoCt;0.978;-2.931;
E9;smpl10;Unknown;10;0.0304;NoCt;NoCt;0.978;-2.931;
F7;smpl11;Unknown;11;0.0304;NoCt;NoCt;0.978;-2.931;
F8;smpl11;Unknown;11;0.0304;NoCt;NoCt;0.978;-2.931;
F9;smpl11;Unknown;11;0.0304;NoCt;NoCt;0.978;-2.931;
G7;smpl12;Unknown;12;0.0304;NoCt;NoCt;0.978;-2.931;
G8;smpl12;Unknown;12;0.0304;NoCt;NoCt;0.978;-2.931;
G9;smpl12;Unknown;12;0.0304;NoCt;NoCt;0.978;-2.931;
B10;smpl13;Unknown;13;0.0304;NoCt;NoCt;0.978;-2.931;
B11;smpl13;Unknown;13;0.0304;NoCt;NoCt;0.978;-2.931;
B12;smpl13;Unknown;13;0.0304;NoCt;NoCt;0.978;-2.931;
C10;smpl14;Unknown;14;0.0304;NoCt;NoCt;0.978;-2.931;
C11;smpl14;Unknown;14;0.0304;NoCt;NoCt;0.978;-2.931;
C12;smpl14;Unknown;14;0.0304;NoCt;NoCt;0.978;-2.931;
D10;smpl15;Unknown;15;0.0304;NoCt;NoCt;0.978;-2.931;
D11;smpl15;Unknown;15;0.0304;NoCt;NoCt;0.978;-2.931;
D12;smpl15;Unknown;15;0.0304;NoCt;NoCt;0.978;-2.931;
E10;smpl16;Unknown;16;0.0304;NoCt;NoCt;0.978;-2.931;
E11;smpl16;Unknown;16;0.0304;NoCt;NoCt;0.978;-2.931;
E12;smpl16;Unknown;16;0.0304;NoCt;NoCt;0.978;-2.931;
B1;std5e5;Standard;17;0.0304;24.51;5.00e+005;0.978;-2.931;
B2;std5e5;Standard;17;0.0304;22.62;5.00e+005;0.978;-2.931;
B3;std5e5;Standard;17;0.0304;23.42;5.00e+005;0.978;-2.931;
C1;std5e4;Standard;18;0.0304;27.83;5.00e+004;0.978;-2.931;
C2;std5e4;Standard;18;0.0304;25.71;5.00e+004;0.978;-2.931;
C3;std5e4;Standard;18;0.0304;25.78;5.00e+004;0.978;-2.931;
D1;std5e3;Standard;19;0.0304;29.49;5.00e+003;0.978;-2.931;
D2;std5e3;Standard;19;0.0304;28.76;5.00e+003;0.978;-2.931;
D3;std5e3;Standard;19;0.0304;29.12;5.00e+003;0.978;-2.931;
E1;std5e2;Standard;20;0.0304;33.62;5.00e+002;0.978;-2.931;
E2;std5e2;Standard;20;0.0304;32.50;5.00e+002;0.978;-2.931;
E3;std5e2;Standard;20;0.0304;31.58;5.00e+002;0.978;-2.931;
F1;std5e1;Standard;21;0.0304;34.80;5.00e+001;0.978;-2.931;
F2;std5e1;Standard;21;0.0304;34.58;5.00e+001;0.978;-2.931;
F3;std5e1;Standard;21;0.0304;34.35;5.00e+001;0.978;-2.931;
G1;std5e0;Standard;22;0.0304;38.54;5.00e+000;0.978;-2.931;
G2;std5e0;Standard;22;0.0304;39.15;5.00e+000;0.978;-2.931;
G3;std5e0;Standard;22;0.0304;37.71;5.00e+000;0.978;-2.931;
