Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.1214;NoCt;NoCt;0.977;-2.930;
B5;smpl01;Unknown;1;0.1214;NoCt;NoCt;0.977;-2.930;
B6;smpl01;Unknown;1;0.1214;NoCt;NoCt;0.977;-2.930;
C4;smpl02;Unknown;2;0.1214;NoCt;NoCt;0.977;-2.930;
C5;smpl02;Unknown;2;0.1214;NoCt;NoCt;0.977;-2.930;
C6;smpl02;Unknown;2;0.1214;NoCt;NoCt;0.977;-2.930;
D4;smpl03;Unknown;3;0.1214;NoCt;NoCt;0.977;-2.930;
D5;smpl03;Unknown;3;0.1214;NoCt;NoCt;0.977;-2.930;
D6;smpl03;Unknown;3;0.1214;NoCt;NoCt;0.977;-2.930;
E4;smpl04;Unknown;4;0.1214;NoCt;NoCt;0.977;-2.930;
E5;smpl04;Unknown;4;0.1214;NoCt;NoCt;0.977;-2.930;
E6;smpl04;Unknown;4;0.1214;NoCt;NoCt;0.977;-2.930;
F4;smpl05;Unknown;5;0.1214;NoCt;NoCt;0.977;-2.930;
F5;smpl05;Unknown;5;0.1214;NoCt;NoCt;0.977;-2.930;
F6;smpl05;Unknown;5;0.1214;NoCt;NoCt;0.977;-2.930;
G4;smpl06;Unknown;6;0.1214;NoCt;NoCt;0.977;-2.930;
G5;smpl06;Unknown;6;0.1214;NoCt;NoCt;0.977;-2.930;
G6;smpl06;Unknown;6;0.1214;NoCt;NoCt;0.977;-2.930;
B7;smpl07;Unknown;7;0.1214;NoCt;NoCt;0.977;-2.930;
B8;smpl07;Unknown;7;0.1214;NoCt;NoCt;0.977;-2.930;
B9;smpl07;Unknown;7;0.1214;NoCt;NoCt;0.977;-2.930;
C7;smpl08;Unknown;8;0.1214;NoCt;NoCt;0.977;-2.930;
C8;smpl08;Unknown;8;0.1214;NoCt;NoCt;0.977;-2.930;
C9;smpl08;Unknown;8;0.1214;NoCt;NoCt;0.977;-2.930;
D7;smpl09;Unknown;9;0.1214;NoCt;NoCt;0.977;-2.930;
D8;smpl09;Unknown;9;0.1214;NoCt;NoCt;0.977;-2.930;
D9;smpl09;Unknown;9;0.1214;NoCt;NoCt;0.977;-2.930;
E7;smpl10;Unknown;10;0.1214;NoCt;NoCt;0.977;-2.930;
E8;smpl10;Unknown;10;0.1214;NoCt;NoCt;0.977;-2.930;
E9;smpl10;Unknown;10;0.1214;NoCt;NoCt;0.977;-2.930;
F7;smpl11;Unknown;11;0.1214;NoCt;NoCt;0.977;-2.930;
F8;smpl11;Unknown;11;0.1214;NoCt;NoCt;0.977;-2.930;
F9;smpl11;Unknown;11;0.1214;NoCt;NoCt;0.977;-2.930;
G7;smpl12;Unknown;12;0.1214;NoCt;NoCt;0.977;-2.930;
G8;smpl12;Unknown;12;0.1214;NoCt;NoCt;0.977;-2.930;
G9;smpl12;Unknown;12;0.1214;NoCt;NoCt;0.977;-2.930;
B10;smpl13;Unknown;13;0.1214;NoCt;NoCt;0.977;-2.930;
B11;smpl13;Unknown;13;0.1214;NoCt;NoCt;0.977;-2.930;
B12;smpl13;Unknown;13;0.1214;NoCt;NoCt;0.977;-2.930;
C10;smpl14;Unknown;14;0.1214;NoCt;NoCt;0.977;-2.930;
C11;smpl14;Unknown;14;0.1214;NoCt;NoCt;0.977;-2.930;
C12;smpl14;Unknown;14;0.1214;NoCt;NoCt;0.977;-2.930;
D10;smpl15;Unknown;15;0.1214;NoCt;NoCt;0.977;-2.930;
D11;smpl15;Unknown;15;0.1214;NoCt;NoCt;0.977;-2.930;
D12;smpl15;Unknown;15;0.1214;NoCt;NoCt;0.977;-2.930;
E10;smpl16;Unknown;16;0.1214;NoCt;NoCt;0.977;-2.930;
E11;smpl16;Unknown;16;0.1214;NoCt;NoCt;0.977;-2.930;
E12;smpl16;Unknown;16;0.1214;NoCt;NoCt;0.977;-2.930;
B1;std5e5;Standard;17;0.1214;25.51;5.00e+005;0.977;-2.930;
B2;std5e5;Standard;17;0.1214;25.75;5.00e+005;0.977;-2.930;
B3;std5e5;Standard;17;0.1214;25.61;5.00e+005;0.977;-2.930;
C1;std5e4;Standard;18;0.1214;28.24;5.00e+004;0.977;-2.930;
C2;std5e4;Standard;18;0.1214;28.28;5.00e+004;0.977;-2.930;
C3;std5e4;Standard;18;0.1214;28.62;5.00e+004;0.977;-2.930;
D1;std5e3;Standard;19;0.1214;32.03;5.00e+003;0.977;-2.930;
D2;std5e3;Standard;19;0.1214;31.68;5.00e+003;0.977;-2.930;
D3;std5e3;Standard;19;0.1214;31.65;5.00e+003;0.977;-2.930;
E1;std5e2;Standard;20;0.1214;35.89;5.00e+002;0.977;-2.930;
E2;std5e2;Standard;20;0.1214;35.19;5.00e+002;0.977;-2.930;
E3;std5e2;Standard;20;0.1214;35.04;5.00e+002;0.977;-2.930;
F1;std5e1;Standard;21;0.1214;35.97;5.00e+001;0.977;-2.930;
F2;std5e1;Standard;21;0.1214;36.74;5.00e+001;0.977;-2.930;
F3;std5e1;Standard;21;0.1214;37.64;5.00e+001;0.977;-2.930;
G1;std5e0;Standard;22;0.1214;NoCt;NoCt;0.977;-2.930;
G2;std5e0;Standard;22;0.1214;NoCt;NoCt;0.977;-2.930;
G3;std5e0;Standard;22;0.1214;NoCt;NoCt;0.977;-2.930;
H1;ntc;NTC;23;0.1214;NoCt;NoCt;0.977;-2.930;
H2;ntc;NTC;23;0.1214;NoCt;NoCt;0.977;-2.930;
H3;ntc;NTC;23;0.1214;NoCt;NoCt;0.977;-2.930;
F10;notused;NTC;24;0.1214;NoCt;NoCt;0.977;-2.930;
F11;notused;NTC;24;0.1214;NoCt;NoCt;0.977;-2.930;
F12;notused;NTC;24;0.1214;NoCt;NoCt;0.977;-2.930;
