Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0395;NoCt;NoCt;0.993;-3.324;
B5;smpl01;Unknown;1;0.0395;NoCt;NoCt;0.993;-3.324;
B6;smpl01;Unknown;1;0.0395;NoCt;NoCt;0.993;-3.324;
C4;smpl02;Unknown;2;0.0395;NoCt;NoCt;0.993;-3.324;
C5;smpl02;Unknown;2;0.0395;NoCt;NoCt;0.993;-3.324;
C6;smpl02;Unknown;2;0.0395;NoCt;NoCt;0.993;-3.324;
D4;smpl03;Unknown;3;0.0395;NoCt;NoCt;0.993;-3.324;
D5;smpl03;Unknown;3;0.0395;NoCt;NoCt;0.993;-3.324;
D6;smpl03;Unknown;3;0.0395;NoCt;NoCt;0.993;-3.324;
E4;smpl04;Unknown;4;0.0395;NoCt;NoCt;0.993;-3.324;
E5;smpl04;Unknown;4;0.0395;NoCt;NoCt;0.993;-3.324;
E6;smpl04;Unknown;4;0.0395;NoCt;NoCt;0.993;-3.324;
F4;smpl05;Unknown;5;0.0395;NoCt;NoCt;0.993;-3.324;
F5;smpl05;Unknown;5;0.0395;NoCt;NoCt;0.993;-3.324;
F6;smpl05;Unknown;5;0.0395;NoCt;NoCt;0.993;-3.324;
G4;smpl06;Unknown;6;0.0395;NoCt;NoCt;0.993;-3.324;
G5;smpl06;Unknown;6;0.0395;NoCt;NoCt;0.993;-3.324;
G6;smpl06;Unknown;6;0.0395;NoCt;NoCt;0.993;-3.324;
B7;smpl07;Unknown;7;0.0395;NoCt;NoCt;0.993;-3.324;
B8;smpl07;Unknown;7;0.0395;NoCt;NoCt;0.993;-3.324;
B9;smpl07;Unknown;7;0.0395;NoCt;NoCt;0.993;-3.324;
C7;smpl08;Unknown;8;0.0395;NoCt;NoCt;0.993;-3.324;
C8;smpl08;Unknown;8;0.0395;NoCt;NoCt;0.993;-3.324;
C9;smpl08;Unknown;8;0.0395;NoCt;NoCt;0.993;-3.324;
D7;smpl09;Unknown;9;0.0395;NoCt;NoCt;0.993;-3.324;
D8;smpl09;Unknown;9;0.0395;NoCt;NoCt;0.993;-3.324;
D9;smpl09;Unknown;9;0.0395;NoCt;NoCt;0.993;-3.324;
E7;smpl10;Unknown;10;0.0395;NoCt;NoCt;0.993;-3.324;
