Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
B5;smpl01;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
B6;smpl01;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
C4;smpl02;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
C5;smpl02;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
C6;smpl02;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
D4;smpl03;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
D5;smpl03;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
D6;smpl03;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
E4;smpl04;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
E5;smpl04;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
E6;smpl04;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
F4;smpl05;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
F5;smpl05;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
F6;smpl05;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
G4;smpl06;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
G5;smpl06;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
G6;smpl06;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
B7;smpl07;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
B8;smpl07;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
B9;smpl07;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
C7;smpl08;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
C8;smpl08;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
C9;smpl08;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
D7;smpl09;Unknown;9;0.1757;NoCt;NoCt;0.996;-3.307;
D8;smpl09;Unknown;9;0.1757;NoCt;NoCt;0.996;-3.307;
D9;smpl09;Unknown;9;0.1757;NoCt;NoCt;0.996;-3.307;
E7;smpl10;Unknown;10;0.1757;NoCt;NoCt;0.996;-3.307;
E8;smpl10;Unknown;10;0.1757;NoCt;NoCt;0.996;-3.307;
E9;smpl10;Unknown;10;0.1757;NoCt;NoCt;0.996;-3.307;
F7;smpl11;Unknown;11;0.1757;NoCt;NoCt;0.996;-3.307;
F8;smpl11;Unknown;11;0.1757;NoCt;NoCt;0.996;-3.307;
F9;smpl11;Unknown;11;0.1757;NoCt;NoCt;0.996;-3.307;
G7;smpl12;Unknown;12;0.1757;NoCt;NoCt;0.996;-3.307;
