Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0247;NoCt;NoCt;0.917;-4.215;
B5;smpl01;Unknown;1;0.0247;NoCt;NoCt;0.917;-4.215;
B6;smpl01;Unknown;1;0.0247;NoCt;NoCt;0.917;-4.215;
C4;smpl02;Unknown;2;0.0247;NoCt;NoCt;0.917;-4.215;
C5;smpl02;Unknown;2;0.0247;NoCt;NoCt;0.917;-4.215;
C6;smpl02;Unknown;2;0.0247;NoCt;NoCt;0.917;-4.215;
D4;smpl03;Unknown;3;0.0247;26.27;1.634e+004;0.917;-4.215;
D5;smpl03;Unknown;3;0.0247;25.92;1.981e+004;0.917;-4.215;
D6;smpl03;Unknown;3;0.0247;26.20;1.694e+004;0.917;-4.215;
E4;smpl04;Unknown;4;0.0247;NoCt;NoCt;0.917;-4.215;
E5;smpl04;Unknown;4;0.0247;NoCt;NoCt;0.917;-4.215;
E6;smpl04;Unknown;4;0.0247;NoCt;NoCt;0.917;-4.215;
F4;smpl05;Unknown;5;0.0247;NoCt;NoCt;0.917;-4.215;
F5;smpl05;Unknown;5;0.0247;NoCt;NoCt;0.917;-4.215;
F6;smpl05;Unknown;5;0.0247;NoCt;NoCt;0.917;-4.215;
G4;smpl06;Unknown;6;0.0247;NoCt;NoCt;0.917;-4.215;
G5;smpl06;Unknown;6;0.0247;NoCt;NoCt;0.917;-4.215;
G6;smpl06;Unknown;6;0.0247;NoCt;NoCt;0.917;-4.215;
B7;smpl07;Unknown;7;0.0247;27.21;9.801e+003;0.917;-4.215;
B8;smpl07;Unknown;7;0.0247;27.03;1.080e+004;0.917;-4.215;
B9;smpl07;Unknown;7;0.0247;27.36;9.011e+003;0.917;-4.215;
C7;smpl08;Unknown;8;0.0247;38.56;1.984e+001;0.917;-4.215;
C8;smpl08;Unknown;8;0.0247;38.49;2.054e+001;0.917;-4.215;
C9;smpl08;Unknown;8;0.0247;37.16;4.257e+001;0.917;-4.215;
D7;smpl09;Unknown;9;0.0247;NoCt;NoCt;0.917;-4.215;
D8;smpl09;Unknown;9;0.0247;NoCt;NoCt;0.917;-4.215;
D9;smpl09;Unknown;9;0.0247;NoCt;NoCt;0.917;-4.215;
E7;smpl10;Unknown;10;0.0247;NoCt;NoCt;0.917;-4.215;
E8;smpl10;Unknown;10;0.0247;NoCt;NoCt;0.917;-4.215;
E9;smpl10;Unknown;10;0.0247;NoCt;NoCt;0.917;-4.215;
F7;smpl11;Unknown;11;0.0247;24.66;3.932e+004;0.917;-4.215;
F8;smpl11;Unknown;11;0.0247;24.81;3.622e+004;0.917;-4.215;
F9;smpl11;Unknown;11;0.0247;24.25;4.926e+004;0.917;-4.215;
G7;smpl12;Unknown;12;0.0247;26.41;1.516e+004;0.917;-4.215;
G8;smpl12;Unknown;12;0.0247;26.37;1.544e+004;0.917;-4.215;
G9;smpl12;Unknown;12;0.0247;25.64;2.302e+004;0.917;-4.215;
B10;smpl13;Unknown;13;0.0247;25.51;2.476e+004;0.917;-4.215;
B11;smpl13;Unknown;13;0.0247;25.73;2.193e+004;0.917;-4.215;
B12;smpl13;Unknown;13;0.0247;25.48;2.519e+004;0.917;-4.215;
C10;smpl14;Unknown;14;0.0247;30.80;1.376e+003;0.917;-4.215;
C11;smpl14;Unknown;14;0.0247;31.49;9.415e+002;0.917;-4.215;
C12;smpl14;Unknown;14;0.0247;30.28;1.824e+003;0.917;-4.215;
D10;smpl15;Unknown;15;0.0247;27.83;6.959e+003;0.917;-4.215;
D11;smpl15;Unknown;15;0.0247;28.14;5.881e+003;0.917;-4.215;
D12;smpl15;Unknown;15;0.0247;28.66;4.425e+003;0.917;-4.215;
E10;smpl16;Unknown;16;0.0247;NoCt;NoCt;0.917;-4.215;
E11;smpl16;Unknown;16;0.0247;NoCt;NoCt;0.917;-4.215;
E12;smpl16;Unknown;16;0.0247;NoCt;NoCt;0.917;-4.215;
B1;std5e5;Standard;17;0.0247;20.61;5.00e+005;0.917;-4.215;
B2;std5e5;Standard;17;0.0247;21.13;5.00e+005;0.917;-4.215;
B3;std5e5;Standard;17;0.0247;20.86;5.00e+005;0.917;-4.215;
C1;std5e4;Standard;18;0.0247;24.19;5.00e+004;0.917;-4.215;
C2;std5e4;Standard;18;0.0247;24.02;5.00e+004;0.917;-4.215;
C3;std5e4;Standard;18;0.0247;23.57;5.00e+004;0.917;-4.215;
D1;std5e3;Standard;19;0.0247;27.42;5.00e+003;0.917;-4.215;
D2;std5e3;Standard;19;0.0247;26.63;5.00e+003;0.917;-4.215;
D3;std5e3;Standard;19;0.0247;27.25;5.00e+003;0.917;-4.215;
E1;std5e2;Standard;20;0.0247;31.10;5.00e+002;0.917;-4.215;
E2;std5e2;Standard;20;0.0247;30.74;5.00e+002;0.917;-4.215;
E3;std5e2;Standard;20;0.0247;36.52;5.00e+002;0.917;-4.215;
F1;std5e1;Standard;21;0.0247;NoCt;NoCt;0.917;-4.215;
F2;std5e1;Standard;21;0.0247;38.80;5.00e+001;0.917;-4.215;
F3;std5e1;Standard;21;0.0247;NoCt;NoCt;0.917;-4.215;
G1;std5e0;Standard;22;0.0247;NoCt;NoCt;0.917;-4.215;
G2;std5e0;Standard;22;0.0247;NoCt;NoCt;0.917;-4.215;
G3;std5e0;Standard;22;0.0247;NoCt;NoCt;0.917;-4.215;
H1;ntc;NTC;23;0.0247;NoCt;NoCt;0.917;-4.215;
