Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0399;NoCt;NoCt;0.992;-2.914;
B5;smpl01;Unknown;1;0.0399;NoCt;NoCt;0.992;-2.914;
B6;smpl01;Unknown;1;0.0399;NoCt;NoCt;0.992;-2.914;
C4;smpl02;Unknown;2;0.0399;NoCt;NoCt;0.992;-2.914;
C5;smpl02;Unknown;2;0.0399;NoCt;NoCt;0.992;-2.914;
C6;smpl02;Unknown;2;0.0399;NoCt;NoCt;0.992;-2.914;
D4;smpl03;Unknown;3;0.0399;NoCt;NoCt;0.992;-2.914;
D5;smpl03;Unknown;3;0.0399;NoCt;NoCt;0.992;-2.914;
D6;smpl03;Unknown;3;0.0399;NoCt;NoCt;0.992;-2.914;
E4;smpl04;Unknown;4;0.0399;NoCt;NoCt;0.992;-2.914;
E5;smpl04;Unknown;4;0.0399;NoCt;NoCt;0.992;-2.914;
E6;smpl04;Unknown;4;0.0399;NoCt;NoCt;0.992;-2.914;
F4;smpl05;Unknown;5;0.0399;NoCt;NoCt;0.992;-2.914;
F5;smpl05;Unknown;5;0.0399;NoCt;NoCt;0.992;-2.914;
F6;smpl05;Unknown;5;0.0399;NoCt;NoCt;0.992;-2.914;
G4;smpl06;Unknown;6;0.0399;NoCt;NoCt;0.992;-2.914;
G5;smpl06;Unknown;6;0.0399;NoCt;NoCt;0.992;-2.914;
G6;smpl06;Unknown;6;0.0399;NoCt;NoCt;0.992;-2.914;
B7;smpl07;Unknown;7;0.0399;NoCt;NoCt;0.992;-2.914;
B8;smpl07;Unknown;7;0.0399;NoCt;NoCt;0.992;-2.914;
B9;smpl07;Unknown;7;0.0399;NoCt;NoCt;0.992;-2.914;
C7;smpl08;Unknown;8;0.0399;NoCt;NoCt;0.992;-2.914;
C8;smpl08;Unknown;8;0.0399;NoCt;NoCt;0.992;-2.914;
C9;smpl08;Unknown;8;0.0399;NoCt;NoCt;0.992;-2.914;
D8;smpl09;Unknown;9;0.0399;NoCt;NoCt;0.992;-2.914;
D9;smpl09;Unknown;9;0.0399;NoCt;NoCt;0.992;-2.914;
E7;smpl10;Unknown;10;0.0399;NoCt;NoCt;0.992;-2.914;
E8;smpl10;Unknown;10;0.0399;NoCt;NoCt;0.992;-2.914;
E9;smpl10;Unknown;10;0.0399;NoCt;NoCt;0.992;-2.914;
F7;smpl11;Unknown;11;0.0399;NoCt;NoCt;0.992;-2.914;
F8;smpl11;Unknown;11;0.0399;NoCt;NoCt;0.992;-2.914;
F9;smpl11;Unknown;11;0.0399;NoCt;NoCt;0.992;-2.914;
G7;smpl12;Unknown;12;0.0399;NoCt;NoCt;0.992;-2.914;
G8;smpl12;Unknown;12;0.0399;NoCt;NoCt;0.992;-2.914;
G9;smpl12;Unknown;12;0.0399;NoCt;NoCt;0.992;-2.914;
B10;smpl13;Unknown;13;0.0399;NoCt;NoCt;0.992;-2.914;
B11;smpl13;Unknown;13;0.0399;NoCt;NoCt;0.992;-2.914;
B12;smpl13;Unknown;13;0.0399;NoCt;NoCt;0.992;-2.914;
C10;smpl14;Unknown;14;0.0399;NoCt;NoCt;0.992;-2.914;
C11;smpl14;Unknown;14;0.0399;NoCt;NoCt;0.992;-2.914;
C12;smpl14;Unknown;14;0.0399;NoCt;NoCt;0.992;-2.914;
D10;smpl15;Unknown;15;0.0399;NoCt;NoCt;0.992;-2.914;
D11;smpl15;Unknown;15;0.0399;NoCt;NoCt;0.992;-2.914;
D12;smpl15;Unknown;15;0.0399;NoCt;NoCt;0.992;-2.914;
E11;smpl16;Unknown;16;0.0399;NoCt;NoCt;0.992;-2.914;
E12;smpl16;Unknown;16;0.0399;NoCt;NoCt;0.992;-2.914;
B1;std5e5;Standard;17;0.0399;23.40;5.00e+005;0.992;-2.914;
B2;std5e5;Standard;17;0.0399;21.93;5.00e+005;0.992;-2.914;
B3;std5e5;Standard;17;0.0399;23.02;5.00e+005;0.992;-2.914;
C1;std5e4;Standard;18;0.0399;26.26;5.00e+004;0.992;-2.914;
C2;std5e4;Standard;18;0.0399;25.93;5.00e+004;0.992;-2.914;
C3;std5e4;Standard;18;0.0399;26.26;5.00e+004;0.992;-2.914;
D1;std5e3;Standard;19;0.0399;28.70;5.00e+003;0.992;-2.914;
D2;std5e3;Standard;19;0.0399;28.51;5.00e+003;0.992;-2.914;
D3;std5e3;Standard;19;0.0399;28.11;5.00e+003;0.992;-2.914;
E1;std5e2;Standard;20;0.0399;31.83;5.00e+002;0.992;-2.914;
E2;std5e2;Standard;20;0.0399;31.62;5.00e+002;0.992;-2.914;
E3;std5e2;Standard;20;0.0399;31.84;5.00e+002;0.992;-2.914;
F1;std5e1;Standard;21;0.0399;34.82;5.00e+001;0.992;-2.914;
F2;std5e1;Standard;21;0.0399;35.26;5.00e+001;0.992;-2.914;
F3;std5e1;Standard;21;0.0399;34.11;5.00e+001;0.992;-2.914;
G1;std5e0;Standard;22;0.0399;37.68;5.00e+000;0.992;-2.914;
G2;std5e0;Standard;22;0.0399;36.93;5.00e+000;0.992;-2.914;
G3;std5e0;Standard;22;0.0399;NoCt;NoCt;0.992;-2.914;
