Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0511;NoCt;NoCt;0.991;-2.784;
B5;smpl01;Unknown;1;0.0511;39.98;4.902e-002;0.991;-2.784;
B6;smpl01;Unknown;1;0.0511;NoCt;NoCt;0.991;-2.784;
C4;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;
C5;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;
C6;smpl02;Unknown;2;0.0511;NoCt;NoCt;0.991;-2.784;
D4;smpl03;Unknown;3;0.0511;39.05;1.065e-001;0.991;-2.784;
D5;smpl03;Unknown;3;0.0511;38.61;1.534e-001;0.991;-2.784;
D6;smpl03;Unknown;3;0.0511;36.46;9.073e-001;0.991;-2.784;
E4;smpl04;Unknown;4;0.0511;35.27;2.41;0.991;-2.784;
E5;smpl04;Unknown;4;0.0511;34.93;3.21;0.991;-2.784;
E6;smpl04;Unknown;4;0.0511;35.22;2.52;0.991;-2.784;
F4;smpl05;Unknown;5;0.0511;39.89;5.322e-002;0.991;-2.784;
F5;smpl05;Unknown;5;0.0511;39.48;7.442e-002;0.991;-2.784;
F6;smpl05;Unknown;5;0.0511;38.00;2.525e-001;0.991;-2.784;
G4;smpl06;Unknown;6;0.0511;34.61;4.19;0.991;-2.784;
G5;smpl06;Unknown;6;0.0511;34.64;4.07;0.991;-2.784;
G6;smpl06;Unknown;6;0.0511;36.08;1.24;0.991;-2.784;
B7;smpl07;Unknown;7;0.0511;26.80;2.656e+003;0.991;-2.784;
B8;smpl07;Unknown;7;0.0511;26.84;2.580e+003;0.991;-2.784;
B9;smpl07;Unknown;7;0.0511;26.22;4.308e+003;0.991;-2.784;
C7;smpl08;Unknown;8;0.0511;38.89;1.211e-001;0.991;-2.784;
C8;smpl08;Unknown;8;0.0511;37.30;4.497e-001;0.991;-2.784;
C9;smpl08;Unknown;8;0.0511;36.99;5.824e-001;0.991;-2.784;
D7;smpl09;Unknown;9;0.0511;32.37;2.673e+001;0.991;-2.784;
D8;smpl09;Unknown;9;0.0511;32.79;1.878e+001;0.991;-2.784;
D9;smpl09;Unknown;9;0.0511;32.13;3.237e+001;0.991;-2.784;
E7;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;
E8;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;
E9;smpl10;Unknown;10;0.0511;NoCt;NoCt;0.991;-2.784;
F7;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;
F8;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;
F9;smpl11;Unknown;11;0.0511;NoCt;NoCt;0.991;-2.784;
G7;smpl12;Unknown;12;0.0511;32.41;2.570e+001;0.991;-2.784;
G8;smpl12;Unknown;12;0.0511;33.13;1.417e+001;0.991;-2.784;
G9;smpl12;Unknown;12;0.0511;33.40;1.140e+001;0.991;-2.784;
B10;smpl13;Unknown;13;0.0511;35.51;1.99;0.991;-2.784;
B11;smpl13;Unknown;13;0.0511;34.28;5.50;0.991;-2.784;
B12;smpl13;Unknown;13;0.0511;34.68;3.93;0.991;-2.784;
C10;smpl14;Unknown;14;0.0511;29.72;2.387e+002;0.991;-2.784;
C11;smpl14;Unknown;14;0.0511;30.22;1.581e+002;0.991;-2.784;
C12;smpl14;Unknown;14;0.0511;30.36;1.409e+002;0.991;-2.784;
D10;smpl15;Unknown;15;0.0511;NoCt;NoCt;0.991;-2.784;
D11;smpl15;Unknown;15;0.0511;NoCt;NoCt;0.991;-2.784;
D12;smpl15;Unknown;15;0.0511;39.11;1.013e-001;0.991;-2.784;
E10;smpl16;Unknown;16;0.0511;31.95;3.778e+001;0.991;-2.784;
