Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0172;30.94;4.308e+001;0.986;-2.408;
B5;smpl01;Unknown;1;0.0172;30.89;4.549e+001;0.986;-2.408;
B6;smpl01;Unknown;1;0.0172;31.32;2.991e+001;0.986;-2.408;
C4;smpl02;Unknown;2;0.0172;39.99;7.496e-003;0.986;-2.408;
C5;smpl02;Unknown;2;0.0172;NoCt;NoCt;0.986;-2.408;
C6;smpl02;Unknown;2;0.0172;NoCt;NoCt;0.986;-2.408;
D4;smpl03;Unknown;3;0.0172;29.54;1.654e+002;0.986;-2.408;
D5;smpl03;Unknown;3;0.0172;29.33;2.014e+002;0.986;-2.408;
D6;smpl03;Unknown;3;0.0172;29.62;1.521e+002;0.986;-2.408;
E4;smpl04;Unknown;4;0.0172;26.64;2.640e+003;0.986;-2.408;
E5;smpl04;Unknown;4;0.0172;27.35;1.339e+003;0.986;-2.408;
E6;smpl04;Unknown;4;0.0172;26.36;3.435e+003;0.986;-2.408;
F4;smpl05;Unknown;5;0.0172;30.98;4.158e+001;0.986;-2.408;
F5;smpl05;Unknown;5;0.0172;31.38;2.841e+001;0.986;-2.408;
F6;smpl05;Unknown;5;0.0172;32.65;8.43;0.986;-2.408;
G4;smpl06;Unknown;6;0.0172;NoCt;NoCt;0.986;-2.408;
G5;smpl06;Unknown;6;0.0172;NoCt;NoCt;0.986;-2.408;
G6;smpl06;Unknown;6;0.0172;NoCt;NoCt;0.986;-2.408;
B7;smpl07;Unknown;7;0.0172;27.64;1.016e+003;0.986;-2.408;
B8;smpl07;Unknown;7;0.0172;27.91;7.864e+002;0.986;-2.408;
B9;smpl07;Unknown;7;0.0172;27.52;1.133e+003;0.986;-2.408;
C7;smpl08;Unknown;8;0.0172;27.61;1.039e+003;0.986;-2.408;
C8;smpl08;Unknown;8;0.0172;28.43;4.753e+002;0.986;-2.408;
C9;smpl08;Unknown;8;0.0172;28.89;3.077e+002;0.986;-2.408;
D7;smpl09;Unknown;9;0.0172;31.34;2.947e+001;0.986;-2.408;
D8;smpl09;Unknown;9;0.0172;27.64;1.009e+003;0.986;-2.408;
D9;smpl09;Unknown;9;0.0172;31.80;1.888e+001;0.986;-2.408;
E7;smpl10;Unknown;10;0.0172;31.81;1.872e+001;0.986;-2.408;
