Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0772;NoCt;NoCt;0.971;-2.942;
B5;smpl01;Unknown;1;0.0772;NoCt;NoCt;0.971;-2.942;
B6;smpl01;Unknown;1;0.0772;NoCt;NoCt;0.971;-2.942;
C4;smpl02;Unknown;2;0.0772;NoCt;NoCt;0.971;-2.942;
C5;smpl02;Unknown;2;0.0772;NoCt;NoCt;0.971;-2.942;
C6;smpl02;Unknown;2;0.0772;NoCt;NoCt;0.971;-2.942;
D4;smpl03;Unknown;3;0.0772;NoCt;NoCt;0.971;-2.942;
D5;smpl03;Unknown;3;0.0772;NoCt;NoCt;0.971;-2.942;
D6;smpl03;Unknown;3;0.0772;NoCt;NoCt;0.971;-2.942;
E4;smpl04;Unknown;4;0.0772;NoCt;NoCt;0.971;-2.942;
E5;smpl04;Unknown;4;0.0772;NoCt;NoCt;0.971;-2.942;
E6;smpl04;Unknown;4;0.0772;NoCt;NoCt;0.971;-2.942;
F4;smpl05;Unknown;5;0.0772;NoCt;NoCt;0.971;-2.942;
F5;smpl05;Unknown;5;0.0772;NoCt;NoCt;0.971;-2.942;
F6;smpl05;Unknown;5;0.0772;NoCt;NoCt;0.971;-2.942;
G4;smpl06;Unknown;6;0.0772;NoCt;NoCt;0.971;-2.942;
G5;smpl06;Unknown;6;0.0772;NoCt;NoCt;0.971;-2.942;
G6;smpl06;Unknown;6;0.0772;NoCt;NoCt;0.971;-2.942;
B7;smpl07;Unknown;7;0.0772;NoCt;NoCt;0.971;-2.942;
B8;smpl07;Unknown;7;0.0772;NoCt;NoCt;0.971;-2.942;
B9;smpl07;Unknown;7;0.0772;NoCt;NoCt;0.971;-2.942;
C7;smpl08;Unknown;8;0.0772;NoCt;NoCt;0.971;-2.942;
C8;smpl08;Unknown;8;0.0772;NoCt;NoCt;0.971;-2.942;
C9;smpl08;Unknown;8;0.0772;NoCt;NoCt;0.971;-2.942;
