Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0224;NoCt;NoCt;0.993;-2.694;
B5;smpl01;Unknown;1;0.0224;NoCt;NoCt;0.993;-2.694;
B6;smpl01;Unknown;1;0.0224;NoCt;NoCt;0.993;-2.694;
C4;smpl02;Unknown;2;0.0224;NoCt;NoCt;0.993;-2.694;
C5;smpl02;Unknown;2;0.0224;NoCt;NoCt;0.993;-2.694;
C6;smpl02;Unknown;2;0.0224;NoCt;NoCt;0.993;-2.694;
D4;smpl03;Unknown;3;0.0224;NoCt;NoCt;0.993;-2.694;
D5;smpl03;Unknown;3;0.0224;NoCt;NoCt;0.993;-2.694;
D6;smpl03;Unknown;3;0.0224;NoCt;NoCt;0.993;-2.694;
E4;smpl04;Unknown;4;0.0224;NoCt;NoCt;0.993;-2.694;
E5;smpl04;Unknown;4;0.0224;NoCt;NoCt;0.993;-2.694;
E6;smpl04;Unknown;4;0.0224;NoCt;NoCt;0.993;-2.694;
F4;smpl05;Unknown;5;0.0224;NoCt;NoCt;0.993;-2.694;
F5;smpl05;Unknown;5;0.0224;NoCt;NoCt;0.993;-2.694;
F6;smpl05;Unknown;5;0.0224;NoCt;NoCt;0.993;-2.694;
G4;smpl06;Unknown;6;0.0224;39.05;4.102e-003;0.993;-2.694;
G5;smpl06;Unknown;6;0.0224;38.57;6.159e-003;0.993;-2.694;
G6;smpl06;Unknown;6;0.0224;37.80;1.187e-002;0.993;-2.694;
B7;smpl07;Unknown;7;0.0224;NoCt;NoCt;0.993;-2.694;
B8;smpl07;Unknown;7;0.0224;NoCt;NoCt;0.993;-2.694;
B9;smpl07;Unknown;7;0.0224;NoCt;NoCt;0.993;-2.694;
C7;smpl08;Unknown;8;0.0224;NoCt;NoCt;0.993;-2.694;
C8;smpl08;Unknown;8;0.0224;NoCt;NoCt;0.993;-2.694;
C9;smpl08;Unknown;8;0.0224;NoCt;NoCt;0.993;-2.694;
D7;smpl09;Unknown;9;0.0224;NoCt;NoCt;0.993;-2.694;
D8;smpl09;Unknown;9;0.0224;NoCt;NoCt;0.993;-2.694;
D9;smpl09;Unknown;9;0.0224;NoCt;NoCt;0.993;-2.694;
E7;smpl10;Unknown;10;0.0224;NoCt;NoCt;0.993;-2.694;
E8;smpl10;Unknown;10;0.0224;NoCt;NoCt;0.993;-2.694;
E9;smpl10;Unknown;10;0.0224;NoCt;NoCt;0.993;-2.694;
F7;smpl11;Unknown;11;0.0224;NoCt;NoCt;0.993;-2.694;
F8;smpl11;Unknown;11;0.0224;NoCt;NoCt;0.993;-2.694;
F9;smpl11;Unknown;11;0.0224;NoCt;NoCt;0.993;-2.694;
G7;smpl12;Unknown;12;0.0224;NoCt;NoCt;0.993;-2.694;
G8;smpl12;Unknown;12;0.0224;NoCt;NoCt;0.993;-2.694;
G9;smpl12;Unknown;12;0.0224;NoCt;NoCt;0.993;-2.694;
B10;smpl13;Unknown;13;0.0224;NoCt;NoCt;0.993;-2.694;
B11;smpl13;Unknown;13;0.0224;NoCt;NoCt;0.993;-2.694;
B12;smpl13;Unknown;13;0.0224;NoCt;NoCt;0.993;-2.694;
C10;smpl14;Unknown;14;0.0224;NoCt;NoCt;0.993;-2.694;
C11;smpl14;Unknown;14;0.0224;NoCt;NoCt;0.993;-2.694;
C12;smpl14;Unknown;14;0.0224;NoCt;NoCt;0.993;-2.694;
D10;smpl15;Unknown;15;0.0224;NoCt;NoCt;0.993;-2.694;
D11;smpl15;Unknown;15;0.0224;NoCt;NoCt;0.993;-2.694;
D12;smpl15;Unknown;15;0.0224;NoCt;NoCt;0.993;-2.694;
E10;smpl16;Unknown;16;0.0224;NoCt;NoCt;0.993;-2.694;
E11;smpl16;Unknown;16;0.0224;NoCt;NoCt;0.993;-2.694;
E12;smpl16;Unknown;16;0.0224;NoCt;NoCt;0.993;-2.694;
B1;std5e5;Standard;17;0.0224;17.76;5.00e+005;0.993;-2.694;
B2;std5e5;Standard;17;0.0224;17.72;5.00e+005;0.993;-2.694;
B3;std5e5;Standard;17;0.0224;17.49;5.00e+005;0.993;-2.694;
C1;std5e4;Standard;18;0.0224;19.99;5.00e+004;0.993;-2.694;
C2;std5e4;Standard;18;0.0224;19.46;5.00e+004;0.993;-2.694;
C3;std5e4;Standard;18;0.0224;19.43;5.00e+004;0.993;-2.694;
