Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0236;NoCt;NoCt;0.998;-3.235;
B5;smpl01;Unknown;1;0.0236;NoCt;NoCt;0.998;-3.235;
B6;smpl01;Unknown;1;0.0236;NoCt;NoCt;0.998;-3.235;
C4;smpl02;Unknown;2;0.0236;38.76;1.818e-001;0.998;-3.235;
C5;smpl02;Unknown;2;0.0236;NoCt;NoCt;0.998;-3.235;
C6;smpl02;Unknown;2;0.0236;NoCt;NoCt;0.998;-3.235;
D4;smpl03;Unknown;3;0.0236;NoCt;NoCt;0.998;-3.235;
D5;smpl03;Unknown;3;0.0236;NoCt;NoCt;0.998;-3.235;
D6;smpl03;Unknown;3;0.0236;NoCt;NoCt;0.998;-3.235;
E4;smpl04;Unknown;4;0.0236;NoCt;NoCt;0.998;-3.235;
E5;smpl04;Unknown;4;0.0236;NoCt;NoCt;0.998;-3.235;
E6;smpl04;Unknown;4;0.0236;NoCt;NoCt;0.998;-3.235;
F4;smpl05;Unknown;5;0.0236;NoCt;NoCt;0.998;-3.235;
F5;smpl05;Unknown;5;0.0236;NoCt;NoCt;0.998;-3.235;
F6;smpl05;Unknown;5;0.0236;NoCt;NoCt;0.998;-3.235;
G4;smpl06;Unknown;6;0.0236;NoCt;NoCt;0.998;-3.235;
G5;smpl06;Unknown;6;0.0236;NoCt;NoCt;0.998;-3.235;
G6;smpl06;Unknown;6;0.0236;NoCt;NoCt;0.998;-3.235;
B7;smpl07;Unknown;7;0.0236;NoCt;NoCt;0.998;-3.235;
B8;smpl07;Unknown;7;0.0236;NoCt;NoCt;0.998;-3.235;
B9;smpl07;Unknown;7;0.0236;NoCt;NoCt;0.998;-3.235;
C7;smpl08;Unknown;8;0.0236;NoCt;NoCt;0.998;-3.235;
C8;smpl08;Unknown;8;0.0236;NoCt;NoCt;0.998;-3.235;
C9;smpl08;Unknown;8;0.0236;NoCt;NoCt;0.998;-3.235;
D7;smpl09;Unknown;9;0.0236;NoCt;NoCt;0.998;-3.235;
D8;smpl09;Unknown;9;0.0236;NoCt;NoCt;0.998;-3.235;
D9;smpl09;Unknown;9;0.0236;NoCt;NoCt;0.998;-3.235;
E7;smpl10;Unknown;10;0.0236;NoCt;NoCt;0.998;-3.235;
E8;smpl10;Unknown;10;0.0236;NoCt;NoCt;0.998;-3.235;
E9;smpl10;Unknown;10;0.0236;NoCt;NoCt;0.998;-3.235;
F7;smpl11;Unknown;11;0.0236;36.15;1.16;0.998;-3.235;
F8;smpl11;Unknown;11;0.0236;38.60;2.040e-001;0.998;-3.235;
F9;smpl11;Unknown;11;0.0236;36.34;1.02;0.998;-3.235;
G7;smpl12;Unknown;12;0.0236;NoCt;NoCt;0.998;-3.235;
G8;smpl12;Unknown;12;0.0236;NoCt;NoCt;0.998;-3.235;
G9;smpl12;Unknown;12;0.0236;NoCt;NoCt;0.998;-3.235;
B10;smpl13;Unknown;13;0.0236;NoCt;NoCt;0.998;-3.235;
B11;smpl13;Unknown;13;0.0236;NoCt;NoCt;0.998;-3.235;
B12;smpl13;Unknown;13;0.0236;NoCt;NoCt;0.998;-3.235;
C10;smpl14;Unknown;14;0.0236;NoCt;NoCt;0.998;-3.235;
C11;smpl14;Unknown;14;0.0236;NoCt;NoCt;0.998;-3.235;
C12;smpl14;Unknown;14;0.0236;NoCt;NoCt;0.998;-3.235;
D10;smpl15;Unknown;15;0.0236;NoCt;NoCt;0.998;-3.235;
D11;smpl15;Unknown;15;0.0236;38.33;2.463e-001;0.998;-3.235;
D12;smpl15;Unknown;15;0.0236;37.83;3.523e-001;0.998;-3.235;
E10;smpl16;Unknown;16;0.0236;NoCt;NoCt;0.998;-3.235;
E11;smpl16;Unknown;16;0.0236;NoCt;NoCt;0.998;-3.235;
E12;smpl16;Unknown;16;0.0236;NoCt;NoCt;0.998;-3.235;
B1;std5e5;Standard;17;0.0236;18.13;5.00e+005;0.998;-3.235;
B2;std5e5;Standard;17;0.0236;18.00;5.00e+005;0.998;-3.235;
B3;std5e5;Standard;17;0.0236;18.38;5.00e+005;0.998;-3.235;
C1;std5e4;Standard;18;0.0236;21.00;5.00e+004;0.998;-3.235;
C2;std5e4;Standard;18;0.0236;20.84;5.00e+004;0.998;-3.235;
C3;std5e4;Standard;18;0.0236;20.86;5.00e+004;0.998;-3.235;
D1;std5e3;Standard;19;0.0236;24.03;5.00e+003;0.998;-3.235;
D2;std5e3;Standard;19;0.0236;24.59;5.00e+003;0.998;-3.235;
D3;std5e3;Standard;19;0.0236;24.20;5.00e+003;0.998;-3.235;
E1;std5e2;Standard;20;0.0236;27.81;5.00e+002;0.998;-3.235;
E2;std5e2;Standard;20;0.0236;27.80;5.00e+002;0.998;-3.235;
E3;std5e2;Standard;20;0.0236;27.57;5.00e+002;0.998;-3.235;
F1;std5e1;Standard;21;0.0236;30.63;5.00e+001;0.998;-3.235;
F2;std5e1;Standard;21;0.0236;30.83;5.00e+001;0.998;-3.235;
F3;std5e1;Standard;21;0.0236;31.19;5.00e+001;0.998;-3.235;
G1;std5e0;Standard;22;0.0236;34.09;5.00e+000;0.998;-3.235;
G2;std5e0;Standard;22;0.0236;34.19;5.00e+000;0.998;-3.235;
G3;std5e0;Standard;22;0.0236;34.15;5.00e+000;0.998;-3.235;
H1;ntc;NTC;23;0.0236;NoCt;NoCt;0.998;-3.235;
H2;ntc;NTC;23;0.0236;NoCt;NoCt;0.998;-3.235;
H3;ntc;NTC;23;0.0236;NoCt;NoCt;0.998;-3.235;
F10;notused;NTC;24;0.0236;NoCt;NoCt;0.998;-3.235;
F11;notused;NTC;24;0.0236;NoCt;NoCt;0.998;-3.235;
F12;notused;NTC;24;0.0236;NoCt;NoCt;0.998;-3.235;
