Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.2688;NoCt;NoCt;0.955;-3.667;
B5;smpl01;Unknown;1;0.2688;NoCt;NoCt;0.955;-3.667;
B6;smpl01;Unknown;1;0.2688;NoCt;NoCt;0.955;-3.667;
C4;smpl02;Unknown;2;0.2688;NoCt;NoCt;0.955;-3.667;
C5;smpl02;Unknown;2;0.2688;NoCt;NoCt;0.955;-3.667;
C6;smpl02;Unknown;2;0.2688;NoCt;NoCt;0.955;-3.667;
D4;smpl03;Unknown;3;0.2688;NoCt;NoCt;0.955;-3.667;
D5;smpl03;Unknown;3;0.2688;NoCt;NoCt;0.955;-3.667;
D6;smpl03;Unknown;3;0.2688;NoCt;NoCt;0.955;-3.667;
E4;smpl04;Unknown;4;0.2688;NoCt;NoCt;0.955;-3.667;
E5;smpl04;Unknown;4;0.2688;NoCt;NoCt;0.955;-3.667;
E6;smpl04;Unknown;4;0.2688;NoCt;NoCt;0.955;-3.667;
F4;smpl05;Unknown;5;0.2688;NoCt;NoCt;0.955;-3.667;
F5;smpl05;Unknown;5;0.2688;NoCt;NoCt;0.955;-3.667;
F6;smpl05;Unknown;5;0.2688;NoCt;NoCt;0.955;-3.667;
G4;smpl06;Unknown;6;0.2688;NoCt;NoCt;0.955;-3.667;
G5;smpl06;Unknown;6;0.2688;NoCt;NoCt;0.955;-3.667;
G6;smpl06;Unknown;6;0.2688;NoCt;NoCt;0.955;-3.667;
B7;smpl07;Unknown;7;0.2688;NoCt;NoCt;0.955;-3.667;
B8;smpl07;Unknown;7;0.2688;NoCt;NoCt;0.955;-3.667;
B9;smpl07;Unknown;7;0.2688;NoCt;NoCt;0.955;-3.667;
C7;smpl08;Unknown;8;0.2688;NoCt;NoCt;0.955;-3.667;
C8;smpl08;Unknown;8;0.2688;NoCt;NoCt;0.955;-3.667;
C9;smpl08;Unknown;8;0.2688;NoCt;NoCt;0.955;-3.667;
D7;smpl09;Unknown;9;0.2688;NoCt;NoCt;0.955;-3.667;
D8;smpl09;Unknown;9;0.2688;NoCt;NoCt;0.955;-3.667;
D9;smpl09;Unknown;9;0.2688;NoCt;NoCt;0.955;-3.667;
E7;smpl10;Unknown;10;0.2688;NoCt;NoCt;0.955;-3.667;
E8;smpl10;Unknown;10;0.2688;NoCt;NoCt;0.955;-3.667;
E9;smpl10;Unknown;10;0.2688;NoCt;NoCt;0.955;-3.667;
F7;smpl11;Unknown;11;0.2688;NoCt;NoCt;0.955;-3.667;
F8;smpl11;Unknown;11;0.2688;NoCt;NoCt;0.955;-3.667;
F9;smpl11;Unknown;11;0.2688;NoCt;NoCt;0.955;-3.667;
G7;smpl12;Unknown;12;0.2688;NoCt;NoCt;0.955;-3.667;
