Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01;Unknown;1;0.0570;NoCt;NoCt;0.986;-2.615;
B5;smpl01;Unknown;1;0.0570;NoCt;NoCt;0.986;-2.615;
B6;smpl01;Unknown;1;0.0570;NoCt;NoCt;0.986;-2.615;
C4;smpl02;Unknown;2;0.0570;39.62;2.587e-002;0.986;-2.615;
C5;smpl02;Unknown;2;0.0570;37.64;1.472e-001;0.986;-2.615;
C6;smpl02;Unknown;2;0.0570;38.54;6.674e-002;0.986;-2.615;
D4;smpl03;Unknown;3;0.0570;28.25;5.770e+002;0.986;-2.615;
D5;smpl03;Unknown;3;0.0570;27.60;1.021e+003;0.986;-2.615;
D6;smpl03;Unknown;3;0.0570;28.32;5.390e+002;0.986;-2.615;
E4;smpl04;Unknown;4;0.0570;31.28;3.974e+001;0.986;-2.615;
E5;smpl04;Unknown;4;0.0570;31.32;3.843e+001;0.986;-2.615;
E6;smpl04;Unknown;4;0.0570;31.82;2.476e+001;0.986;-2.615;
F4;smpl05;Unknown;5;0.0570;35.60;8.895e-001;0.986;-2.615;
F5;smpl05;Unknown;5;0.0570;35.32;1.13;0.986;-2.615;
F6;smpl05;Unknown;5;0.0570;35.47;1.00;0.986;-2.615;
G4;smpl06;Unknown;6;0.0570;NoCt;NoCt;0.986;-2.615;
G5;smpl06;Unknown;6;0.0570;NoCt;NoCt;0.986;-2.615;
G6;smpl06;Unknown;6;0.0570;NoCt;NoCt;0.986;-2.615;
B7;smpl07;Unknown;7;0.0570;38.06;1.017e-001;0.986;-2.615;
B8;smpl07;Unknown;7;0.0570;39.58;2.666e-002;0.986;-2.615;
B9;smpl07;Unknown;7;0.0570;39.50;2.875e-002;0.986;-2.615;
C7;smpl08;Unknown;8;0.0570;39.26;3.556e-002;0.986;-2.615;
C8;smpl08;Unknown;8;0.0570;39.80;2.196e-002;0.986;-2.615;
C9;smpl08;Unknown;8;0.0570;NoCt;NoCt;0.986;-2.615;
D7;smpl09;Unknown;9;0.0570;30.01;1.216e+002;0.986;-2.615;
D8;smpl09;Unknown;9;0.0570;29.34;2.210e+002;0.986;-2.615;
D9;smpl09;Unknown;9;0.0570;29.53;1.858e+002;0.986;-2.615;
E7;smpl10;Unknown;10;0.0570;NoCt;NoCt;0.986;-2.615;
E8;smpl10;Unknown;10;0.0570;NoCt;NoCt;0.986;-2.615;
E9;smpl10;Unknown;10;0.0570;NoCt;NoCt;0.986;-2.615;
F7;smpl11;Unknown;11;0.0570;32.26;1.682e+001;0.986;-2.615;
F8;smpl11;Unknown;11;0.0570;32.60;1.252e+001;0.986;-2.615;
F9;smpl11;Unknown;11;0.0570;32.57;1.286e+001;0.986;-2.615;
G7;smpl12;Unknown;12;0.0570;35.64;8.593e-001;0.986;-2.615;
G8;smpl12;Unknown;12;0.0570;35.34;1.12;0.986;-2.615;
G9;smpl12;Unknown;12;0.0570;34.88;1.68;0.986;-2.615;
B10;smpl13;Unknown;13;0.0570;37.21;2.153e-001;0.986;-2.615;
B11;smpl13;Unknown;13;0.0570;NoCt;NoCt;0.986;-2.615;
B12;smpl13;Unknown;13;0.0570;36.79;3.116e-001;0.986;-2.615;
C10;smpl14;Unknown;14;0.0570;NoCt;NoCt;0.986;-2.615;
C11;smpl14;Unknown;14;0.0570;NoCt;NoCt;0.986;-2.615;
C12;smpl14;Unknown;14;0.0570;NoCt;NoCt;0.986;-2.615;
D10;smpl15;Unknown;15;0.0570;34.78;1.83;0.986;-2.615;
D11;smpl15;Unknown;15;0.0570;34.43;2.50;0.986;-2.615;
D12;smpl15;Unknown;15;0.0570;34.90;1.65;0.986;-2.615;
E10;smpl16;Unknown;16;0.0570;27.77;8.773e+002;0.986;-2.615;
E11;smpl16;Unknown;16;0.0570;28.05;6.836e+002;0.986;-2.615;
E12;smpl16;Unknown;16;0.0570;28.20;5.990e+002;0.986;-2.615;
B1;std5e5;Standard;17;0.0570;21.94;5.00e+005;0.986;-2.615;
B2;std5e5;Standard;17;0.0570;20.12;5.00e+005;0.986;-2.615;
B3;std5e5;Standard;17;0.0570;19.86;5.00e+005;0.986;-2.615;
C1;std5e4;Standard;18;0.0570;22.89;5.00e+004;0.986;-2.615;
C2;std5e4;Standard;18;0.0570;23.57;5.00e+004;0.986;-2.615;
C3;std5e4;Standard;18;0.0570;22.56;5.00e+004;0.986;-2.615;
D1;std5e3;Standard;19;0.0570;26.03;5.00e+003;0.986;-2.615;
D2;std5e3;Standard;19;0.0570;25.77;5.00e+003;0.986;-2.615;
D3;std5e3;Standard;19;0.0570;25.75;5.00e+003;0.986;-2.615;
E1;std5e2;Standard;20;0.0570;28.34;5.00e+002;0.986;-2.615;
E2;std5e2;Standard;20;0.0570;28.47;5.00e+002;0.986;-2.615;
E3;std5e2;Standard;20;0.0570;27.95;5.00e+002;0.986;-2.615;
F1;std5e1;Standard;21;0.0570;31.41;5.00e+001;0.986;-2.615;
F2;std5e1;Standard;21;0.0570;31.62;5.00e+001;0.986;-2.615;
F3;std5e1;Standard;21;0.0570;31.43;5.00e+001;0.986;-2.615;
G1;std5e0;Standard;22;0.0570;33.49;5.00e+000;0.986;-2.615;
G2;std5e0;Standard;22;0.0570;33.91;5.00e+000;0.986;-2.615;
G3;std5e0;Standard;22;0.0570;32.73;5.00e+000;0.986;-2.615;
H1;ntc;NTC;23;0.0570;NoCt;NoCt;0.986;-2.615;
H2;ntc;NTC;23;0.0570;NoCt;NoCt;0.986;-2.615;
H3;ntc;NTC;23;0.0570;NoCt;NoCt;0.986;-2.615;
F10;notused;NTC;24;0.0570;NoCt;NoCt;0.986;-2.615;
F11;notused;NTC;24;0.0570;NoCt;NoCt;0.986;-2.615;
F12;notused;NTC;24;0.0570;NoCt;NoCt;0.986;-2.615;
