Well;WellName;WellType;Replicate;Threshold(dRn);Ct(dRn);Quantity(copies);RSq(dRn);Slope(dRn);
B4;smpl01efteraar;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
B5;smpl01efteraar;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
B6;smpl01efteraar;Unknown;1;0.1757;NoCt;NoCt;0.996;-3.307;
C4;smpl02efteraar;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
C5;smpl02efteraar;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
C6;smpl02efteraar;Unknown;2;0.1757;NoCt;NoCt;0.996;-3.307;
D4;smpl03efteraar;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
D5;smpl03efteraar;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
D6;smpl03efteraar;Unknown;3;0.1757;NoCt;NoCt;0.996;-3.307;
E4;smpl04efteraar;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
E5;smpl04efteraar;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
E6;smpl04efteraar;Unknown;4;0.1757;NoCt;NoCt;0.996;-3.307;
F4;smpl05efteraar;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
F5;smpl05efteraar;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
F6;smpl05efteraar;Unknown;5;0.1757;NoCt;NoCt;0.996;-3.307;
G4;smpl06efteraar;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
G5;smpl06efteraar;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
G6;smpl06efteraar;Unknown;6;0.1757;NoCt;NoCt;0.996;-3.307;
B7;smpl07efteraar;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
B8;smpl07efteraar;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
B9;smpl07efteraar;Unknown;7;0.1757;NoCt;NoCt;0.996;-3.307;
C7;smpl08efteraar;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
C8;smpl08efteraar;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
C9;smpl08efteraar;Unknown;8;0.1757;NoCt;NoCt;0.996;-3.307;
D7;smpl09efteraar;Unknown;9;0.1757;NoCt;NoCt;0.996;-3.307;
D8;smpl09efteraar;Unknown;9;0.1757;NoCt;NoCt;0.996;-3.307;
