Harbour,Harbour_spcf_loc,Saeson,Coll_date,AmphiFiltNo,volfilt_mL,collectby,EuroFinsampleno,EuroFinsExtrSmpleno,LatGr,LatMin,Latsek,LatHemisph,LonGr,LonMin,Lonsek,LonHemisph,declat,declon
Odense,OdenseHavn,foraar,2017.jul.19,NA,800,PRMoeller,smpl13,1,55.00,24.00,36.25,N,10.00,22.00,40.85,E,55.4101,10.3780
Odense,OdenseHavn,foraar,2017.jul.19,NA,800,PRMoeller,smpl13,2,55.00,24.00,36.25,N,10.00,22.00,40.85,E,55.4101,10.3780
Roedby,RoedbyFaergehavn,foraar,2017.jul.04,145,500,NA,smpl14,1,54.00,39.00,14.85,N,11.00,20.00,45.94,E,54.6541,11.3461
Roedby,RoedbyFaergehavn,foraar,2017.jul.04,152,500,NA,smpl14,2,54.00,39.00,14.85,N,11.00,20.00,45.94,E,54.6541,11.3461
KalundborgStatiolHavn,KalundborgStatiolHavn,foraar,2017.jul.02,NA,1500,PRMoeller,smpl15,1,55.00,39.00,51.49,N,11.00,4.00,24.97,E,55.6643,11.0736
KalundborgStatiolHavn,KalundborgStatiolHavn,foraar,2017.jul.02,NA,1500,PRMoeller,smpl15,2,55.00,39.00,51.49,N,11.00,4.00,24.97,E,55.6643,11.0736
Koege,KoegeHavn,foraar,2017.jul.04,154,850,NA,smpl16,1,55.00,27.00,23.58,N,12.00,12.00,14.38,E,55.4566,12.2040
Koege,KoegeHavn,foraar,2017.jul.04,158,850,NA,smpl16,2,55.00,27.00,23.58,N,12.00,12.00,14.38,E,55.4566,12.2040
Esbjerg,EsbjergPortbassin2,efteraar,2017.oct.17,NA,200,PRMoeller,smpl01,1,55,27,28.24,N,8,26,31.2,E,55.4578,8.4420
Esbjerg,EsbjergPortbassin2,efteraar,2017.oct.17,NA,200,PRMoeller,smpl01,2,55,27,28.24,N,8,26,31.2,E,55.4578,8.4420
Aarhus,AarhusHavn,efteraar,2017.sep.19,NA,1000,PRMoellerCAOlsen,smpl02,1,56.00,9.00,34.90,N,10.00,13.00,48.19,E,56.1597,10.2301
Aarhus,AarhusHavn,efteraar,2017.sep.19,NA,1000,PRMoellerCAOlsen,smpl02,2,56.00,9.00,34.90,N,10.00,13.00,48.19,E,56.1597,10.2301
Aalborgportland,Aalborgportlandkaj,efteraar,2017.oct.11,NA,2500,PRMoellerCAOlsen,smpl03,1,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
Aalborgportland,Aalborgportlandkaj,efteraar,2017.oct.11,NA,2500,PRMoellerCAOlsen,smpl03,2,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
AalborgHavn,VestrebaadehavnAalborg,efteraar,2017.oct.11,NA,1000,PRMoellerCAOlsen,smpl04,1,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
AalborgHavn,VestrebaadehavnAalborg,efteraar,2017.oct.11,NA,1000,PRMoellerCAOlsen,smpl04,2,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
Fredericia,FredericiaHavn,efteraar,2017.oct.11,NA,1000,PRMoellerCAOlsen,smpl05,1,55.00,33.00,28.52,N,9.00,44.00,56.21,E,55.5579,9.7489
Fredericia,FredericiaHavn,efteraar,2017.oct.11,NA,1000,PRMoellerCAOlsen,smpl05,2,55.00,33.00,28.52,N,9.00,44.00,56.21,E,55.5579,9.7489
Frederikshavn,FrederikshavnPier2Nordhavn,efteraar,2017.oct.06,NA,3000,NA,smpl06,1,57.00,26.00,31.50,N,10.00,33.00,44.02,E,57.4421,10.5622
Frederikshavn,FrederikshavnPier2Nordhavn,efteraar,2017.oct.06,NA,450,NA,smpl06,2,57.00,26.00,31.50,N,10.00,33.00,44.02,E,57.4421,10.5622
Gedser,GedserHavn,efteraar,2017.sep.23,NA,1000,HCarlCAOlsen,smpl07,1,54.00,34.00,18.71,N,11.00,55.00,39.64,E,54.5719,11.9277
Gedser,GedserHavn,efteraar,2017.sep.23,NA,1000,HCarlCAOlsen,smpl07,2,54.00,34.00,18.71,N,11.00,55.00,39.64,E,54.5719,11.9277
Grenaa,GrenaaHavn,efteraar,2017.sep.19,NA,1000,PRMoellerCAOlsen,smpl08,1,56.00,24.00,45.52,N,10.00,55.00,59.52,E,56.4126,10.9332
Grenaa,GrenaaHavn,efteraar,2017.sep.19,NA,1000,PRMoellerCAOlsen,smpl08,2,56.00,24.00,45.52,N,10.00,55.00,59.52,E,56.4126,10.9332
Helsingoer,Helsingoer,efteraar,2017.sep.13,NA,1000,CAOlsen,smpl09,1,56.00,2.00,8.59,N,12.00,37.00,3.22,E,56.0357,12.6176
Helsingoer,Helsingoer,efteraar,2017.sep.13,NA,1000,CAOlsen,smpl09,2,56.00,2.00,8.59,N,12.00,37.00,3.22,E,56.0357,12.6176
Hirtshals,HirtshalsVestBassinmarina,efteraar,2017.nov.08,NA,600,NA,smpl10,1,57.00,35.00,51.13,N,9.00,58.00,37.92,E,57.5975,9.9772
Hirtshals,HirtshalsVestBassinmarina,efteraar,2017.nov.08,NA,600,NA,smpl10,2,57.00,35.00,51.13,N,9.00,58.00,37.92,E,57.5975,9.9772
Kalundborg,KalundborgInderhavn,efteraar,2017.sep.22,NA,1000,PRMoellerCAOlsen,smpl11,1,55.00,40.00,38.40,N,11.00,4.00,22.86,E,55.6773,11.0730
Kalundborg,KalundborgInderhavn,efteraar,2017.sep.22,NA,1000,PRMoellerCAOlsen,smpl11,2,55.00,40.00,38.40,N,11.00,4.00,22.86,E,55.6773,11.0730
Koebenhavn,Svanemoellen,efteraar,2017.sep.12,NA,1650,PRMoellerCAOlsen,smpl12,1,55.00,39.00,54.59,N,12.00,34.00,12.66,E,55.6652,12.5702
Koebenhavn,Svanemoellen,efteraar,2017.sep.12,NA,1000,PRMoellerCAOlsen,smpl12,2,55.00,39.00,54.59,N,12.00,34.00,12.66,E,55.6652,12.5702
Odense,OdenseHavn,efteraar,2017.sep.15,NA,800,NA,smpl13,1,55.00,24.00,36.25,N,10.00,22.00,40.85,E,55.4101,10.3780
Odense,OdenseHavn,efteraar,2017.sep.15,NA,800,NA,smpl13,2,55.00,24.00,36.25,N,10.00,22.00,40.85,E,55.4101,10.3780
Roedby,RoedbyFaergehavn,efteraar,2017.sep.23,NA,200,HCarlCAOlsen,smpl14,1,54.00,39.00,14.85,N,11.00,20.00,45.94,E,54.6541,11.3461
Roedby,RoedbyFaergehavn,efteraar,2017.sep.23,NA,200,HCarlCAOlsen,smpl14,2,54.00,39.00,14.85,N,11.00,20.00,45.94,E,54.6541,11.3461
KalundborgStatiolHavn,KalundborgStatiolHavn,efteraar,2017.sep.22,NA,1000,HCarlCAOlsen,smpl15,1,55.00,39.00,51.49,N,11.00,4.00,24.97,E,55.6643,11.0736
KalundborgStatiolHavn,KalundborgStatiolHavn,efteraar,2017.sep.22,NA,1000,HCarlCAOlsen,smpl15,2,55.00,39.00,51.49,N,11.00,4.00,24.97,E,55.6643,11.0736
Koege,KoegeHavn,efteraar,2017.sep.12,NA,450,PRMoellerCAOlsen,smpl16,1,55.00,27.00,23.58,N,12.00,12.00,14.38,E,55.4566,12.2040
Koege,KoegeHavn,efteraar,2017.sep.12,NA,600,PRMoellerCAOlsen,smpl16,2,55.00,27.00,23.58,N,12.00,12.00,14.38,E,55.4566,12.2040
