Harbour,Harbour_spcf_loc,Saeson,Coll_date,AmphiFiltNo,volfilt_mL,collectby,EuroFinsampleno,EuroFinsExtrSmpleno,LatGr,LatMin,Latsek,LatHemisph,LonGr,LonMin,Lonsek,LonHemisph,declat,declon
Esbjerg,EsbjergPortbassin2,foraar,2017.jun.27,181,1000,NA,smpl01,1,55,27,28.24,N,8,26,31.2,E,55.4578,8.4420
Esbjerg,EsbjergPortbassin2,foraar,2017.jun.27,182,1000,NA,smpl01,2,55,27,28.24,N,8,26,31.2,E,55.4578,8.4420
Aarhus,AarhusHavn,foraar,2017.jul.05,208,2400,NA,smpl02,1,56.00,9.00,34.90,N,10.00,13.00,48.19,E,56.1597,10.2301
Aarhus,AarhusHavn,foraar,2017.jul.05,226,3100,NA,smpl02,2,56.00,9.00,34.90,N,10.00,13.00,48.19,E,56.1597,10.2301
Aalborgportland,Aalborgportlandkaj,foraar,2017.jun.30,254,1000,NA,smpl03,1,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
Aalborgportland,Aalborgportlandkaj,foraar,2017.jun.30,284,1000,NA,smpl03,2,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
AalborgHavn,VestrebaadehavnAalborg,foraar,2017.jun.29,252,1000,NA,smpl04,1,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
AalborgHavn,VestrebaadehavnAalborg,foraar,2017.jun.29,283,1000,NA,smpl04,2,57.00,3.00,4.94,N,9.00,55.00,54.85,E,57.0514,9.9319
Fredericia,FredericiaHavn,foraar,2017.jul.05,225,1600,NA,smpl05,1,55.00,33.00,28.52,N,9.00,44.00,56.21,E,55.5579,9.7489
Fredericia,FredericiaHavn,foraar,2017.jul.05,221,2000,NA,smpl05,2,55.00,33.00,28.52,N,9.00,44.00,56.21,E,55.5579,9.7489
Frederikshavn,FrederikshavnPier2Nordhavn,foraar,2017.jun.28,186,1000,NA,smpl06,1,57.00,26.00,31.50,N,10.00,33.00,44.02,E,57.4421,10.5622
Frederikshavn,FrederikshavnPier2Nordhavn,foraar,2017.jun.28,285,1000,NA,smpl06,2,57.00,26.00,31.50,N,10.00,33.00,44.02,E,57.4421,10.5622
Gedser,GedserHavn,foraar,2017.jul.04,137,700,NA,smpl07,1,54.00,34.00,18.71,N,11.00,55.00,39.64,E,54.5719,11.9277
Gedser,GedserHavn,foraar,2017.jul.04,135,700,NA,smpl07,2,54.00,34.00,18.71,N,11.00,55.00,39.64,E,54.5719,11.9277
Grenaa,GrenaaHavn,foraar,2017.jul.05,229,1100,NA,smpl08,1,56.00,24.00,45.52,N,10.00,55.00,59.52,E,56.4126,10.9332
Grenaa,GrenaaHavn,foraar,2017.jul.05,218,1500,NA,smpl08,2,56.00,24.00,45.52,N,10.00,55.00,59.52,E,56.4126,10.9332
Helsingoer,Helsingoer,foraar,2017.jul.11,NA,1000,CAOlsen,smpl09,1,56.00,2.00,8.59,N,12.00,37.00,3.22,E,56.0357,12.6176
Helsingoer,Helsingoer,foraar,2017.jul.11,NA,1000,CAOlsen,smpl09,2,56.00,2.00,8.59,N,12.00,37.00,3.22,E,56.0357,12.6176
Hirtshals,HirtshalsVestBassinmarina,foraar,2017.jun.28,183,1000,NA,smpl10,1,57.00,35.00,51.13,N,9.00,58.00,37.92,E,57.5975,9.9772
Hirtshals,HirtshalsVestBassinmarina,foraar,2017.jun.28,184,1000,NA,smpl10,2,57.00,35.00,51.13,N,9.00,58.00,37.92,E,57.5975,9.9772
Kalundborg,KalundborgInderhavn,foraar,2017.jul.03,NA,1500,PRMoeller,smpl11,1,55.00,40.00,38.40,N,11.00,4.00,22.86,E,55.6773,11.0730
Kalundborg,KalundborgInderhavn,foraar,2017.jul.03,NA,1500,PRMoeller,smpl11,2,55.00,40.00,38.40,N,11.00,4.00,22.86,E,55.6773,11.0730
Koebenhavn,Svanemoellen,foraar,2017.jun.09,NA,1800,PRMoellerCAOlsen,smpl12,1,55.00,39.00,54.59,N,12.00,34.00,12.66,E,55.6652,12.5702
Koebenhavn,Svanemoellen,foraar,2017.jun.09,NA,1800,PRMoellerCAOlsen,smpl12,2,55.00,39.00,54.59,N,12.00,34.00,12.66,E,55.6652,12.5702
