six_lett_spec_abbrv,AssayIDcode,Genus,species,gen_specnm,dk_comnm,AssayIDNo,Phylum,Class,Order,Family,col_f_Phyl,spcf_col_f_Phyl
Acibae,AssID23,Acipenser,baerii,Acipenser_baerii,siberiskstoer,23,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,purple,darkorchid1
Bonham,AssID01,Bonnemaisonia,hamifera,Bonnemaisonia_hamifera,roedtotalge,1,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,red,firebrick3
Caraur,AssID06,Carassius,auratus,Carassius_auratus,soelvkarusse,6,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,purple,darkorchid2
Colper,AssID08,Colpomenia,peregrine,Colpomenia_peregrine,oesterstyv,8,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,brown,brown
Corcas,AssID21,Cordylophora,caspia,Cordylophora_caspia,brakvandskroellepolyp,21,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae,cyan,cyan
Cragig,AssID14,Crassostrea,gigas,Crassostrea_gigas,stillehavsoesters,14,Mollusca,Bivalvia,Ostreoida ,Ostreidae,yellow,gold1
Cypcar,AssID07,Cyprinus,carpio,Cyprinus_carpio,karpe,7,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,purple,darkorchid2
Erisin,AssID18,Eriocheir,sinensis,Eriocheir_sinensis,kinesiskuldhaandskrabbe,18,Arthropoda,Malacostraca,Decapoda,Varunidae,orange,darkorange1
Homame,AssID19,Homarus,americanus,Homarus_americanus,amerikanskhummer,19,Arthropoda,Malacostraca,Decapoda,Nephropidae,orange,darkorange2
Karmik,AssID05,Karenia,mikimotoi,Karenia_mikimotoi,dinoflagelat,5,Dinoflagellata,Dinophyceae,0,0,green,green3
Mnelei,AssID22,Mnemiopsis,leidyi,Mnemiopsis_leidyi,amerikanskribbegoble,22,Ctenophora,Tentaculata,Lobata,Bolinopsidae,darkblue,darkblue
Myaare,AssID15,Mya,arenaria,Mya_arenaria,sandmusling,15,Mollusca,Bivalvia,Myoida,Myidae,yellow,gold4
Neomel,AssID09A,Neogobius,melanostomus,Neogobius_melanostomus,sortmundetkutling,09A,Chordata,Actinopterygii,Perciformes,Gobiidae,purple,darkorchid4
Oncgor,AssID13,Oncorhyncus,gorbuscha,Oncorhyncus_gorbuscha,pukkellaks,13,Chordata,Actinopterygii,Salmoniformes,Salmonidae,purple,darkmagenta
Oncmyk,AssID10,Oncorhynchus,mykiss,Oncorhynchus_mykiss,regnbueoerred,10,Chordata,Actinopterygii,Salmoniformes,Salmonidae,purple,darkmagenta
Parcam,AssID17,Paralithodes,camtschaticus,Paralithodes_camtschaticus,kamtjatkakrabbe,17,Arthropoda,Malacostraca,Decapoda,Lithodidae,orange,darkorange3
Promin,AssID02,Prorocentrum,minimum,Prorocentrum_minimum,dinoflagelat,2,Dinoflagellata,Dinophyceae,0,Prorocentraceae,green,chartreuse3
Psefar,AssID03,Pseudochattonella,farcimen,Pseudochattonella_farcimen,heterokontflagelat,3,Heterokontophyta,Dictyochophyceae,Florenciellales,0,darkgreen,green3
Pseser,AssID04,Pseudochattonella,verruculosa,Pseudochattonella_verruculosa,heterokontflagelat,4,Heterokontophyta,Dictyochophyceae,Florenciellales,0,darkgreen,green3
Rhihar,AssID16,Rhithropanopeus,harrisii,Rhithropanopeus_harrisii,mudderkrabbe,16,Arthropoda,Malacostraca,Decapoda,Panopeidae,orange,darkorange4
