Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
B4	smpl01	Unknown	1	0.0540	No Ct	No Ct	0.931	-2.612	
B5	smpl01	Unknown	1	0.0540	No Ct	No Ct	0.931	-2.612	
B6	smpl01	Unknown	1	0.0540	No Ct	No Ct	0.931	-2.612	
C4	smpl02	Unknown	2	0.0540	No Ct	No Ct	0.931	-2.612	
C5	smpl02	Unknown	2	0.0540	No Ct	No Ct	0.931	-2.612	
C6	smpl02	Unknown	2	0.0540	No Ct	No Ct	0.931	-2.612	
D4	smpl03	Unknown	3	0.0540	No Ct	No Ct	0.931	-2.612	
D5	smpl03	Unknown	3	0.0540	No Ct	No Ct	0.931	-2.612	
D6	smpl03	Unknown	3	0.0540	No Ct	No Ct	0.931	-2.612	
E4	smpl04	Unknown	4	0.0540	No Ct	No Ct	0.931	-2.612	
E5	smpl04	Unknown	4	0.0540	No Ct	No Ct	0.931	-2.612	
E6	smpl04	Unknown	4	0.0540	No Ct	No Ct	0.931	-2.612	
F4	smpl05	Unknown	5	0.0540	No Ct	No Ct	0.931	-2.612	
F5	smpl05	Unknown	5	0.0540	No Ct	No Ct	0.931	-2.612	
F6	smpl05	Unknown	5	0.0540	No Ct	No Ct	0.931	-2.612	
G4	smpl06	Unknown	6	0.0540	No Ct	No Ct	0.931	-2.612	
G5	smpl06	Unknown	6	0.0540	No Ct	No Ct	0.931	-2.612	
G6	smpl06	Unknown	6	0.0540	No Ct	No Ct	0.931	-2.612	
B7	smpl07	Unknown	7	0.0540	No Ct	No Ct	0.931	-2.612	
B8	smpl07	Unknown	7	0.0540	No Ct	No Ct	0.931	-2.612	
B9	smpl07	Unknown	7	0.0540	No Ct	No Ct	0.931	-2.612	
C7	smpl08	Unknown	8	0.0540	No Ct	No Ct	0.931	-2.612	
C8	smpl08	Unknown	8	0.0540	No Ct	No Ct	0.931	-2.612	
C9	smpl08	Unknown	8	0.0540	No Ct	No Ct	0.931	-2.612	
D7	smpl09	Unknown	9	0.0540	No Ct	No Ct	0.931	-2.612	
D8	smpl09	Unknown	9	0.0540	No Ct	No Ct	0.931	-2.612	
D9	smpl09	Unknown	9	0.0540	No Ct	No Ct	0.931	-2.612	
E7	smpl10	Unknown	10	0.0540	No Ct	No Ct	0.931	-2.612	
E8	smpl10	Unknown	10	0.0540	No Ct	No Ct	0.931	-2.612	
E9	smpl10	Unknown	10	0.0540	No Ct	No Ct	0.931	-2.612	
F7	smpl11	Unknown	11	0.0540	No Ct	No Ct	0.931	-2.612	
F8	smpl11	Unknown	11	0.0540	No Ct	No Ct	0.931	-2.612	
