Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
B4	smpl01	Unknown	1	0.1028	No Ct	No Ct	0.985	-2.962	
B5	smpl01	Unknown	1	0.1028	No Ct	No Ct	0.985	-2.962	
B6	smpl01	Unknown	1	0.1028	No Ct	No Ct	0.985	-2.962	
C4	smpl02	Unknown	2	0.1028	28.86	1.473e+003	0.985	-2.962	
C5	smpl02	Unknown	2	0.1028	28.69	1.686e+003	0.985	-2.962	
C6	smpl02	Unknown	2	0.1028	28.47	1.998e+003	0.985	-2.962	
D4	smpl03	Unknown	3	0.1028	37.91	1.30	0.985	-2.962	
D5	smpl03	Unknown	3	0.1028	37.66	1.58	0.985	-2.962	
D6	smpl03	Unknown	3	0.1028	37.74	1.48	0.985	-2.962	
E4	smpl04	Unknown	4	0.1028	No Ct	No Ct	0.985	-2.962	
E5	smpl04	Unknown	4	0.1028	No Ct	No Ct	0.985	-2.962	
E6	smpl04	Unknown	4	0.1028	No Ct	No Ct	0.985	-2.962	
F4	smpl05	Unknown	5	0.1028	27.66	3.744e+003	0.985	-2.962	
F5	smpl05	Unknown	5	0.1028	27.58	3.992e+003	0.985	-2.962	
F6	smpl05	Unknown	5	0.1028	27.76	3.479e+003	0.985	-2.962	
G4	smpl06	Unknown	6	0.1028	34.23	2.269e+001	0.985	-2.962	
G5	smpl06	Unknown	6	0.1028	32.92	6.304e+001	0.985	-2.962	
G6	smpl06	Unknown	6	0.1028	33.59	3.729e+001	0.985	-2.962	
B7	smpl07	Unknown	7	0.1028	34.49	1.858e+001	0.985	-2.962	
B8	smpl07	Unknown	7	0.1028	34.27	2.197e+001	0.985	-2.962	
B9	smpl07	Unknown	7	0.1028	33.36	4.459e+001	0.985	-2.962	
C7	smpl08	Unknown	8	0.1028	24.72	3.683e+004	0.985	-2.962	
C8	smpl08	Unknown	8	0.1028	24.75	3.591e+004	0.985	-2.962	
C9	smpl08	Unknown	8	0.1028	24.61	4.008e+004	0.985	-2.962	
D7	smpl09	Unknown	9	0.1028	27.36	4.742e+003	0.985	-2.962	
D8	smpl09	Unknown	9	0.1028	27.35	4.787e+003	0.985	-2.962	
D9	smpl09	Unknown	9	0.1028	27.25	5.161e+003	0.985	-2.962	
E7	smpl10	Unknown	10	0.1028	No Ct	No Ct	0.985	-2.962	
E8	smpl10	Unknown	10	0.1028	No Ct	No Ct	0.985	-2.962	
E9	smpl10	Unknown	10	0.1028	No Ct	No Ct	0.985	-2.962	
F7	smpl11	Unknown	11	0.1028	21.68	3.926e+005	0.985	-2.962	
F8	smpl11	Unknown	11	0.1028	21.75	3.702e+005	0.985	-2.962	
F9	smpl11	Unknown	11	0.1028	21.66	3.981e+005	0.985	-2.962	
G7	smpl12	Unknown	12	0.1028	24.93	3.137e+004	0.985	-2.962	
G8	smpl12	Unknown	12	0.1028	24.72	3.701e+004	0.985	-2.962	
G9	smpl12	Unknown	12	0.1028	24.72	3.680e+004	0.985	-2.962	
B10	smpl13	Unknown	13	0.1028	36.44	4.08	0.985	-2.962	
B11	smpl13	Unknown	13	0.1028	36.46	3.99	0.985	-2.962	
B12	smpl13	Unknown	13	0.1028	36.34	4.41	0.985	-2.962	
C10	smpl14	Unknown	14	0.1028	30.56	3.951e+002	0.985	-2.962	
C11	smpl14	Unknown	14	0.1028	30.34	4.659e+002	0.985	-2.962	
C12	smpl14	Unknown	14	0.1028	30.72	3.464e+002	0.985	-2.962	
D10	smpl15	Unknown	15	0.1028	26.08	1.277e+004	0.985	-2.962	
D11	smpl15	Unknown	15	0.1028	25.97	1.397e+004	0.985	-2.962	
D12	smpl15	Unknown	15	0.1028	26.08	1.282e+004	0.985	-2.962	
E10	smpl16	Unknown	16	0.1028	32.32	1.005e+002	0.985	-2.962	
E11	smpl16	Unknown	16	0.1028	31.75	1.564e+002	0.985	-2.962	
E12	smpl16	Unknown	16	0.1028	31.89	1.396e+002	0.985	-2.962	
B1	std5e5	Standard	17	0.1028	21.44	5.00e+005	0.985	-2.962	
B2	std5e5	Standard	17	0.1028	20.99	5.00e+005	0.985	-2.962	
B3	std5e5	Standard	17	0.1028	21.44	5.00e+005	0.985	-2.962	
C1	std5e4	Standard	18	0.1028	24.42	5.00e+004	0.985	-2.962	
C2	std5e4	Standard	18	0.1028	24.24	5.00e+004	0.985	-2.962	
C3	std5e4	Standard	18	0.1028	24.57	5.00e+004	0.985	-2.962	
D1	std5e3	Standard	19	0.1028	28.24	5.00e+003	0.985	-2.962	
D2	std5e3	Standard	19	0.1028	27.11	5.00e+003	0.985	-2.962	
D3	std5e3	Standard	19	0.1028	27.62	5.00e+003	0.985	-2.962	
E1	std5e2	Standard	20	0.1028	29.78	5.00e+002	0.985	-2.962	
E2	std5e2	Standard	20	0.1028	29.72	5.00e+002	0.985	-2.962	
E3	std5e2	Standard	20	0.1028	30.34	5.00e+002	0.985	-2.962	
F1	std5e1	Standard	21	0.1028	32.83	5.00e+001	0.985	-2.962	
F2	std5e1	Standard	21	0.1028	32.77	5.00e+001	0.985	-2.962	
F3	std5e1	Standard	21	0.1028	32.78	5.00e+001	0.985	-2.962	
G1	std5e0	Standard	22	0.1028	37.08	5.00e+000	0.985	-2.962	
G2	std5e0	Standard	22	0.1028	37.61	5.00e+000	0.985	-2.962	
G3	std5e0	Standard	22	0.1028	34.91	5.00e+000	0.985	-2.962	
H1	ntc	NTC	23	0.1028	No Ct	No Ct	0.985	-2.962	
H2	ntc	NTC	23	0.1028	No Ct	No Ct	0.985	-2.962	
H3	ntc	NTC	23	0.1028	No Ct	No Ct	0.985	-2.962	
