Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
B4	smpl01	Unknown	1	0.0879	No Ct	No Ct	0.995	-2.849	
B5	smpl01	Unknown	1	0.0879	No Ct	No Ct	0.995	-2.849	
B6	smpl01	Unknown	1	0.0879	No Ct	No Ct	0.995	-2.849	
C4	smpl02	Unknown	2	0.0879	36.18	3.32	0.995	-2.849	
C5	smpl02	Unknown	2	0.0879	37.08	1.59	0.995	-2.849	
C6	smpl02	Unknown	2	0.0879	38.04	7.333e-001	0.995	-2.849	
D4	smpl03	Unknown	3	0.0879	34.64	1.145e+001	0.995	-2.849	
D5	smpl03	Unknown	3	0.0879	34.97	8.81	0.995	-2.849	
D6	smpl03	Unknown	3	0.0879	35.13	7.72	0.995	-2.849	
E4	smpl04	Unknown	4	0.0879	35.35	6.49	0.995	-2.849	
E5	smpl04	Unknown	4	0.0879	33.99	1.939e+001	0.995	-2.849	
E6	smpl04	Unknown	4	0.0879	35.97	3.91	0.995	-2.849	
F4	smpl05	Unknown	5	0.0879	31.90	1.056e+002	0.995	-2.849	
F5	smpl05	Unknown	5	0.0879	31.75	1.191e+002	0.995	-2.849	
F6	smpl05	Unknown	5	0.0879	31.71	1.229e+002	0.995	-2.849	
G4	smpl06	Unknown	6	0.0879	31.81	1.136e+002	0.995	-2.849	
G5	smpl06	Unknown	6	0.0879	31.54	1.412e+002	0.995	-2.849	
G6	smpl06	Unknown	6	0.0879	31.98	9.837e+001	0.995	-2.849	
B7	smpl07	Unknown	7	0.0879	No Ct	No Ct	0.995	-2.849	
B8	smpl07	Unknown	7	0.0879	No Ct	No Ct	0.995	-2.849	
B9	smpl07	Unknown	7	0.0879	No Ct	No Ct	0.995	-2.849	
C7	smpl08	Unknown	8	0.0879	26.75	6.767e+003	0.995	-2.849	
C8	smpl08	Unknown	8	0.0879	26.84	6.286e+003	0.995	-2.849	
C9	smpl08	Unknown	8	0.0879	27.05	5.305e+003	0.995	-2.849	
D7	smpl09	Unknown	9	0.0879	31.22	1.824e+002	0.995	-2.849	
D8	smpl09	Unknown	9	0.0879	31.47	1.493e+002	0.995	-2.849	
D9	smpl09	Unknown	9	0.0879	33.23	3.590e+001	0.995	-2.849	
E7	smpl10	Unknown	10	0.0879	37.98	7.701e-001	0.995	-2.849	
E8	smpl10	Unknown	10	0.0879	36.25	3.14	0.995	-2.849	
E9	smpl10	Unknown	10	0.0879	35.69	4.92	0.995	-2.849	
F7	smpl11	Unknown	11	0.0879	33.11	3.949e+001	0.995	-2.849	
F8	smpl11	Unknown	11	0.0879	33.11	3.965e+001	0.995	-2.849	
F9	smpl11	Unknown	11	0.0879	32.95	4.500e+001	0.995	-2.849	
G7	smpl12	Unknown	12	0.0879	26.62	7.493e+003	0.995	-2.849	
G8	smpl12	Unknown	12	0.0879	26.79	6.514e+003	0.995	-2.849	
G9	smpl12	Unknown	12	0.0879	27.00	5.527e+003	0.995	-2.849	
B10	smpl13	Unknown	13	0.0879	35.60	5.29	0.995	-2.849	
B11	smpl13	Unknown	13	0.0879	35.59	5.31	0.995	-2.849	
B12	smpl13	Unknown	13	0.0879	34.80	1.007e+001	0.995	-2.849	
C10	smpl14	Unknown	14	0.0879	39.91	1.622e-001	0.995	-2.849	
C11	smpl14	Unknown	14	0.0879	No Ct	No Ct	0.995	-2.849	
C12	smpl14	Unknown	14	0.0879	No Ct	No Ct	0.995	-2.849	
D10	smpl15	Unknown	15	0.0879	28.36	1.841e+003	0.995	-2.849	
D11	smpl15	Unknown	15	0.0879	28.34	1.874e+003	0.995	-2.849	
D12	smpl15	Unknown	15	0.0879	28.31	1.912e+003	0.995	-2.849	
E10	smpl16	Unknown	16	0.0879	No Ct	No Ct	0.995	-2.849	
E11	smpl16	Unknown	16	0.0879	No Ct	No Ct	0.995	-2.849	
E12	smpl16	Unknown	16	0.0879	No Ct	No Ct	0.995	-2.849	
B1	std5e5	Standard	17	0.0879	21.42	5.00e+005	0.995	-2.849	
B2	std5e5	Standard	17	0.0879	21.64	5.00e+005	0.995	-2.849	
B3	std5e5	Standard	17	0.0879	21.25	5.00e+005	0.995	-2.849	
C1	std5e4	Standard	18	0.0879	24.56	5.00e+004	0.995	-2.849	
C2	std5e4	Standard	18	0.0879	24.10	5.00e+004	0.995	-2.849	
C3	std5e4	Standard	18	0.0879	24.12	5.00e+004	0.995	-2.849	
D1	std5e3	Standard	19	0.0879	27.38	5.00e+003	0.995	-2.849	
D2	std5e3	Standard	19	0.0879	26.88	5.00e+003	0.995	-2.849	
D3	std5e3	Standard	19	0.0879	27.29	5.00e+003	0.995	-2.849	
E1	std5e2	Standard	20	0.0879	29.86	5.00e+002	0.995	-2.849	
E2	std5e2	Standard	20	0.0879	30.28	5.00e+002	0.995	-2.849	
E3	std5e2	Standard	20	0.0879	29.33	5.00e+002	0.995	-2.849	
F1	std5e1	Standard	21	0.0879	32.59	5.00e+001	0.995	-2.849	
F2	std5e1	Standard	21	0.0879	33.44	5.00e+001	0.995	-2.849	
F3	std5e1	Standard	21	0.0879	32.72	5.00e+001	0.995	-2.849	
G1	std5e0	Standard	22	0.0879	36.48	5.00e+000	0.995	-2.849	
G2	std5e0	Standard	22	0.0879	35.25	5.00e+000	0.995	-2.849	
G3	std5e0	Standard	22	0.0879	35.26	5.00e+000	0.995	-2.849	
H1	ntc	NTC	23	0.0879	No Ct	No Ct	0.995	-2.849	
H2	ntc	NTC	23	0.0879	No Ct	No Ct	0.995	-2.849	
H3	ntc	NTC	23	0.0879	No Ct	No Ct	0.995	-2.849	
