Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
B4	smpl01	Unknown	1	0.0307	No Ct	No Ct	0.996	-2.801	
B5	smpl01	Unknown	1	0.0307	No Ct	No Ct	0.996	-2.801	
B6	smpl01	Unknown	1	0.0307	No Ct	No Ct	0.996	-2.801	
C4	smpl02	Unknown	2	0.0307	No Ct	No Ct	0.996	-2.801	
C5	smpl02	Unknown	2	0.0307	No Ct	No Ct	0.996	-2.801	
C6	smpl02	Unknown	2	0.0307	No Ct	No Ct	0.996	-2.801	
D4	smpl03	Unknown	3	0.0307	No Ct	No Ct	0.996	-2.801	
D5	smpl03	Unknown	3	0.0307	No Ct	No Ct	0.996	-2.801	
D6	smpl03	Unknown	3	0.0307	No Ct	No Ct	0.996	-2.801	
E4	smpl04	Unknown	4	0.0307	No Ct	No Ct	0.996	-2.801	
E5	smpl04	Unknown	4	0.0307	No Ct	No Ct	0.996	-2.801	
E6	smpl04	Unknown	4	0.0307	No Ct	No Ct	0.996	-2.801	
F4	smpl05	Unknown	5	0.0307	No Ct	No Ct	0.996	-2.801	
F5	smpl05	Unknown	5	0.0307	No Ct	No Ct	0.996	-2.801	
F6	smpl05	Unknown	5	0.0307	No Ct	No Ct	0.996	-2.801	
G4	smpl06	Unknown	6	0.0307	No Ct	No Ct	0.996	-2.801	
G5	smpl06	Unknown	6	0.0307	No Ct	No Ct	0.996	-2.801	
G6	smpl06	Unknown	6	0.0307	No Ct	No Ct	0.996	-2.801	
B7	smpl07	Unknown	7	0.0307	33.78	9.018e-001	0.996	-2.801	
B8	smpl07	Unknown	7	0.0307	32.73	2.15	0.996	-2.801	
B9	smpl07	Unknown	7	0.0307	32.54	2.50	0.996	-2.801	
C7	smpl08	Unknown	8	0.0307	No Ct	No Ct	0.996	-2.801	
C8	smpl08	Unknown	8	0.0307	No Ct	No Ct	0.996	-2.801	
C9	smpl08	Unknown	8	0.0307	No Ct	No Ct	0.996	-2.801	
D7	smpl09	Unknown	9	0.0307	No Ct	No Ct	0.996	-2.801	
D8	smpl09	Unknown	9	0.0307	No Ct	No Ct	0.996	-2.801	
D9	smpl09	Unknown	9	0.0307	No Ct	No Ct	0.996	-2.801	
